V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,OFLX
91.26673035,38.74937142,5.076144683,-19.8834869,2.261400404,-7.147976947,27.66015897,6.395424933,4.298046198,-4.144894749,-1.622197408,10.60593668,10.55894122,-7.465692415,15.2793828,-5.835480581,-9.375989357,5.443692273,8.631205815,-0.244204976,3.512743344,4.143257758,-6.017613705,-17.19841825,5.266337624,-0.89890532,13.71378076,1.863693752,-2.313593104,4.655627758,-4.70584101,10.59731426,-4.769561223,-7.970107523,7.033764357,2.608704814,5.06159928,8.122480361,2.111595897,7.805303843,-11.03333967,-13.36041774,-7.262769655,4.854476962,-6.991262992,0.120708465,1.727070703,2.045674327,7.407833934,-1.181250129,-3.695133765,8.609151884,-0.283787739,-5.535250255,-0.454775217,10.52419242,0.836569577,-10.47693973,-8.390233205,-1.36257738,0.417357188,-2.264943235,-2.626283629,6.98031635,-0.618568437,5.938947724,-0.745070008,2.320945038,7.029865094,0.134652993,3.525912087,-7.732657722,-9.416539841,7.329017152,-7.460986142,6.954423528,-2.858152505,-3.379302471,-1.900340342,5.259846369,-3.274421548,7.427536162,0.063148584,-0.883206893,5.26055794,5.541175055,-1.732631839,-3.894213312,-4.266526325,1.995393038,0.05935897,-4.366511946,0.597625573,-1.915955355,5.164405258,2.779016103,0.912538398,1.035919289,-2.209149082,-1.237034927,-0.423064019,3.235106689,1.291273523,-3.349464537,-0.693847538,4.067062501,-1.711026256,2.174982342,2.811886868,-0.927786745,-1.896815353,5.293120191,3.459485926,3.039001168,0.242330504,1.839886424,-0.734477088,1.470327423,2.369786105,1.852382839,0.61265019,-1.1150287,1.768981797,3.367609912,-0.291751962,2.144601193,2.433233285,-0.560062309,-1.413500913,-1.83617912,-0.332152211,0.661289628,-1.518287106,-0.18413863,-2.398726165,-2.403900145,1.80906719,-1.813341239,0.829209359,-0.175400211,2.316486979,1.166830066,-3.227217399,2.47286511,-1.277591971,0.873201114,-0.670664314,0.351215544,2.551057496,2.91728173,5.011366968,-0.095803937,-1.586604154,0.435136824,-2.950544565,0
92.6309231,44.88369148,10.79990698,-22.36637158,-5.024524559,-10.64101899,21.7738803,-1.434108527,10.69313403,-8.824820877,-6.172981565,-2.842379508,-16.55668926,-3.935275815,-6.125694167,-17.26514179,-1.489145755,-5.495672393,7.905189384,4.438325433,-5.833606443,7.235213229,10.76452739,-8.306414296,1.772889444,0.104605046,-1.596419912,2.991359429,3.867560536,8.14941351,-0.762475585,-4.977533507,-1.441604006,3.179806934,-0.900214286,-3.848200302,0.542171201,-2.820516334,-1.598494045,3.910788844,-1.882612188,3.564983425,-1.189654333,-8.952054311,17.20632878,1.978740548,8.527041676,5.829881966,0.088283285,7.481198566,-2.639995256,-9.941623303,1.292088165,4.50366389,4.98615863,2.76124617,-12.51530646,2.792777736,6.26873262,2.670422098,-1.201049939,4.665765092,-2.007485387,4.751386784,-1.015401401,9.630921168,0.113008805,-4.075563398,0.179993635,4.659373911,0.435897045,1.50073325,-1.60020357,2.382803834,-2.80686518,2.781729499,-2.435965889,-1.904889097,0.757691393,2.079036515,5.599575006,-8.056169688,3.435022325,-2.040052173,1.195205919,-1.358009343,-1.912262933,3.134457385,5.106155222,-3.739223123,0.570970003,6.555801101,-1.039128457,-1.204281944,-1.375040315,-4.044932456,-4.670180133,-1.951597753,1.684747961,-0.455421622,2.770039453,2.983259366,-1.298401327,-0.614588431,-1.543064739,-0.363929473,-5.526917038,-4.579621371,-4.338456773,1.726829465,-1.692736629,-0.517790111,-2.4698497,1.455407795,0.401648452,0.341872608,-1.934715032,-1.845185335,-0.877178841,0.799552659,-1.55176406,-2.118976395,0.018691948,-1.385489687,2.646232176,2.642551036,4.619362648,1.507960669,-1.503404081,-0.25080467,-2.285462236,2.46136217,1.927795439,-0.07587128,1.58997293,-1.320813999,0.721952264,0.618294404,0.084017529,1.215055909,-2.768475329,-0.497504068,1.532603615,-1.271738812,-0.771371244,0.067397432,-1.160171883,-0.953667878,-0.632411316,-1.526522512,0.980304634,0.753525831,0.424361252,-1.091704673,-0.839588745,0
91.50262693,50.3103192,-32.94792631,13.3419093,1.614864863,6.768941608,0.015910784,3.869929332,7.862007295,5.712290116,-13.0861439,3.526214786,-11.40547658,-0.238926986,-0.905500161,-7.815205619,-1.912881235,8.812823222,-8.348961276,-6.83459397,19.44867054,6.745443513,-2.839609197,14.3009365,-3.680893044,-5.326609789,2.972045054,-0.103975708,-10.25150534,-0.748674997,-6.496226406,-3.776768505,2.506154825,7.586367687,4.089909124,6.574362664,7.085698954,-0.513884649,0.046487362,-9.220496384,-2.159791759,5.698108596,-11.57300376,7.022285867,-4.358337112,4.120455708,-1.877730888,-2.19872044,3.173643021,0.89633669,-0.116066469,3.825590389,4.227308798,-3.357957712,-1.87980875,2.01199295,-5.665431484,-3.621213989,0.898300522,-8.216888962,8.614426245,1.528609726,2.427840815,-1.829033693,0.293086624,0.547191989,4.126521163,-0.98878398,2.399877025,1.902065034,-1.131220959,-3.551708729,4.172856589,2.57197974,2.889890144,4.381998723,2.209247847,4.872342043,-3.314143662,-0.775372365,2.449462765,-0.028753943,-1.067370608,-1.968905144,-2.690681532,-2.437492917,-0.217754119,0.571274323,-3.966429986,-2.105702792,-3.131337288,2.26437275,0.885350306,-0.165461327,0.439136815,-0.97646659,-1.687918899,2.902873554,-1.367684072,0.805724969,-3.359363482,6.590877849,-3.582292211,2.427840727,1.23549826,1.295834257,-0.569633224,-1.336092443,2.840900768,-0.260284228,0.377084845,2.692308792,-2.117060734,1.626341485,1.702657058,2.797882338,-2.547324604,-3.86747697,0.911204748,2.044143728,2.628941481,0.207657854,2.127944431,1.579141587,1.729393659,-0.757515368,1.046241884,1.889751717,-1.159999264,-1.097777058,-0.830284248,-0.040353919,0.527485616,-2.520214247,-0.836267713,-0.44167334,0.289952475,1.879636897,0.373797287,-1.674429357,-0.628886016,2.655526256,-0.969646994,-0.175519672,1.199941289,0.222544215,0.994259418,1.684282245,-1.941099816,1.318973293,-0.233685767,-1.000289647,0.017218271,-0.269547902,1.208187304,1
96.04336847,53.50826504,-32.97181516,15.41896109,0.806293627,9.736335019,-3.872299354,-1.302667334,5.842638209,4.145186683,-6.190139645,3.328776066,-1.62992122,2.085199551,1.059337369,-8.70526999,4.868687117,5.240687478,-0.487776052,-3.829497545,14.84498396,3.309120342,-2.877755869,9.31174159,-3.872677708,5.139112012,8.660423864,-6.178929096,-3.260782744,6.013615358,-7.081200161,-2.346110653,-5.97644044,2.877411811,-5.920986481,-0.167008902,-1.518704222,-1.096197538,4.926135654,-5.746159334,-1.393582169,-2.212498486,-8.24627505,-0.233968849,4.118914842,1.887702271,-4.902855402,-5.805316643,-1.027907632,-1.649622979,-2.127086299,0.266030746,-2.21978681,-1.010165886,4.080452211,1.595764849,1.97613263,0.643320552,-0.9572149,-0.37358229,3.179643927,3.513314335,-4.13674284,-0.328365606,-1.946464993,0.820844145,3.80205124,0.725881027,1.302486091,-3.532269682,2.703125201,-0.913735242,-0.827875689,-0.618702135,1.117528039,1.707188839,0.25698334,-0.899141472,0.340472879,-2.900574895,0.159617252,2.379529874,0.475514753,-0.073431179,-0.720814386,-1.555002799,0.419249906,-0.585866417,-1.433040189,0.493914874,0.540480961,-5.568072552,-1.010108253,1.404272407,0.952018114,-3.197544369,-1.509422137,-2.027231278,2.56707735,0.696150647,0.937718519,1.037952357,-0.629399948,-2.050953083,1.765914285,0.473511048,0.011578531,-0.774507782,1.62697022,1.03691348,0.620709409,0.062543431,-0.507816699,1.292507989,-1.902460938,-1.108779644,-1.306397136,2.394222078,-0.184151267,0.266181884,-0.719700667,-0.269462369,-0.581972826,-0.441817549,-0.724447085,1.401627123,2.345424846,-0.177011203,-0.695896433,2.211026424,-2.179550259,0.261954955,-0.140262287,0.790751621,-1.265631786,1.098457544,0.096356015,-1.631157816,-0.300887803,0.316854599,-0.867063673,0.420896983,0.356035035,0.796944952,0.051103187,-0.013467276,-0.026429046,-2.141044441,1.496390661,-1.419598623,-0.44110638,0.010380354,0.391027575,0.098323152,0.735681526,1
91.83695907,47.4270005,-32.28327835,13.1928615,3.989680134,-9.340261684,8.531788525,5.038810917,-33.35405565,-4.989046729,-10.7818799,0.77170351,4.259672169,-3.35117507,-8.015201623,7.274671766,-9.673389857,-4.510474883,1.11920837,10.87849701,8.86187843,9.319152661,-2.89219618,7.390962353,-5.001666533,0.162769692,2.864194096,5.021198694,-12.27327642,2.021954789,-2.302921744,4.069824101,2.774230848,-3.253519661,6.315456915,8.038812033,6.050867557,-4.945599342,3.487484766,-3.330172399,8.199156823,-1.400922243,-0.29312577,-5.504597844,-8.735423773,3.132327904,-3.259511434,0.975848407,-1.156021758,5.108990654,3.615485089,-2.544915892,-1.670697731,3.486945969,-3.602599041,-2.629492363,1.358260147,-0.526773796,-1.034824733,0.319128406,-4.565050511,2.471263376,0.971831918,1.272764969,4.193536874,4.268655304,-0.838375012,-0.352043017,0.647602025,2.200805259,-0.868391302,0.691772736,-0.770203239,-1.84168399,-1.713009934,-4.368121755,1.095794855,3.024954481,3.202990392,4.544993608,-0.559135069,1.819776894,2.050464453,-0.354976489,-2.006487474,0.841886323,1.761045539,1.087050902,-0.561197223,-2.755117237,-1.49349293,0.655094003,0.660418236,0.129038406,1.217628495,0.663455038,-0.799383982,-1.116610728,1.448539805,0.708017769,1.25183497,0.285310553,3.415157099,1.947571282,-1.872708942,-0.466111139,-0.333621447,-0.073658923,-0.157877442,-0.606550086,-1.121652772,2.460154532,-0.786664338,-1.039895336,-0.319197661,0.793963228,-0.467863761,2.382012009,-0.166626036,0.121678348,-0.706610278,-0.176244903,0.330538053,0.257603788,0.231570483,-1.417269731,0.571892571,-1.592596115,0.492521385,-0.282245676,-0.839387517,-0.213617968,-1.326523823,-0.51690874,-0.499542949,-0.678830936,-0.989669126,0.500924435,0.505900558,-0.982392403,-0.0726135,0.977797719,0.597856131,-0.795056457,-0.195108203,-0.194687375,0.829083835,-0.297479561,-0.574407391,-0.370389063,-0.084981219,0.375995496,-0.30817143,0.582977328,0.699289814,1
82.75663768,53.09554787,-39.93056588,19.76879777,5.441743873,-8.651951118,2.939930782,4.211533679,-24.97042214,-2.560589844,-5.245698471,0.500011294,6.196802776,0.856259482,-19.08007861,9.413219018,-3.833191092,-11.06886896,5.628307929,8.815571542,-1.875438463,0.019216063,-6.292792566,-3.664404509,0.201072176,0.559358209,-0.822773875,14.70959907,-3.598805906,-2.29964588,2.626592397,10.38193898,7.031275139,-4.036192536,3.717281691,4.509264728,-2.885057225,-2.992465347,8.834335166,-1.822540613,5.214283452,6.714026869,5.094695366,-4.090527222,0.279520794,-2.97003334,-1.954993236,-9.236246215,2.00201541,-7.889509166,-8.301322009,-3.755908008,-0.285891796,9.365946628,5.735679534,-6.403848988,3.481085297,-0.909697271,-6.45189005,0.983776793,-6.522198399,-2.336539028,0.871485953,2.337229983,-2.441935149,-2.245446014,-2.991958381,-1.55872934,1.328655714,-3.016017947,0.074978426,-4.089851388,-4.01466425,-4.108406263,-0.823163841,-0.46360418,-0.176155715,-5.333795176,5.694241647,1.19548216,-1.78262353,-0.825842086,0.084546213,-0.55826195,-4.78258526,0.937807532,-0.930651203,0.470801732,0.557580377,-0.76755462,-0.270843541,-2.224245469,-3.800592688,1.147995192,1.869670421,-6.032047724,-1.233695703,2.368444356,-0.61813724,3.937915552,1.13903657,6.374075536,1.085081574,0.912297832,-0.417052219,3.311849997,-2.201506188,1.844270533,0.90174409,0.889561204,3.428512833,0.874359631,2.099333194,-1.469313135,-1.805299166,-2.034183982,1.535561744,-4.402462774,2.710379922,0.620699469,-0.681770595,1.261186841,1.281791991,5.184874953,1.448579593,1.643447533,1.320036902,0.085692719,2.279996198,2.18958173,-0.276651422,-0.670540066,1.299372574,1.945357736,-1.782405578,-1.01954089,-0.645914784,-0.500060318,-0.204916577,-2.788992809,-0.651784141,-0.07947635,-0.401982433,-0.72467806,-1.290084677,0.46520834,1.177995452,-0.690077096,-1.638457416,-1.652832229,-1.484991325,-0.125207892,-0.317355937,-2.12691097,-1.221083383,0
94.77393615,53.06339419,-34.49363062,16.70121181,-1.504337165,7.778582635,-6.137767437,-1.023578797,4.339723839,4.118992475,-9.300343249,4.834121792,-6.205999761,1.808423456,-2.448098665,-6.740301819,2.370343528,7.059036221,-1.90786169,-6.579737367,11.69713273,4.382044933,0.730309925,10.12912026,-1.885681582,4.858948383,8.071951293,-6.156053412,-7.17239558,2.698222297,-8.391232087,-3.963348861,-6.483819165,1.475038916,-2.050400679,0.191287485,-2.685234113,-9.557841431,4.72748333,-7.910239395,5.292483905,-2.735753206,-4.446749554,0.167232518,-0.89375228,-0.621275265,0.70171758,-1.6638554,-0.347231821,-2.436940843,-0.861528638,0.961117101,0.205767515,-3.287655986,-6.159645595,2.293576773,-4.358940359,-5.2660428,-0.135340998,-4.954510219,3.558135559,2.043985846,-0.92338656,-3.278482225,-3.27642931,0.948539337,5.750818488,0.565785268,6.061162372,2.008405164,-1.513821875,-2.688298754,0.597184893,-1.32123335,-1.751894178,0.807611995,4.123706695,-1.238008135,-0.034185973,-1.770788468,5.68673334,0.420984574,-1.609791011,-0.095740601,0.511537834,-0.128291499,-2.793694072,1.294610439,-2.227098878,0.162150117,-3.423717085,-0.807553319,1.461141802,0.349367291,-3.182401963,-1.438946565,-1.268953384,-3.404635303,3.096427676,-0.995022416,1.621164249,-3.527808073,-1.009814989,-0.141793028,1.223107485,-2.465669079,-1.402855892,-0.934022737,-1.569250668,-0.588196801,1.446631072,-0.874397133,-0.124798307,-1.803388986,-1.618997243,-0.03559014,-1.432083261,-0.069063388,1.406043242,-0.192193137,-1.109708028,0.341813292,1.052510828,1.5475806,0.878801926,-0.552040847,1.715060919,-0.067039086,-0.165526996,0.954775879,-1.639571018,0.041954401,0.014388578,1.413568238,-0.183427641,-0.067536073,-0.644759404,-0.277015973,-0.743332099,-0.220614632,0.911420858,0.277669395,-0.546097541,-0.118331266,-0.48838099,-1.65909825,-0.438306303,-1.563186627,0.638919743,-0.173286232,-1.294033581,0.061399285,0.16398327,0.095075107,0.097817354,1
88.79536337,52.8525402,-40.33971556,19.90177084,3.96832937,11.39678115,-0.764935805,3.152520054,6.495492094,7.172355204,-9.411691315,5.427971968,-4.603943322,-5.122175491,-3.21696425,-14.6084222,2.081963393,-1.37845988,-4.851726102,0.423806708,4.561648263,9.300491236,-0.277719764,-0.659139673,-2.725939431,-1.968004047,4.319725879,-0.763178725,-4.761826615,-6.128293094,1.986135562,2.127024578,-1.007423122,-7.659561347,-2.596936871,2.113894156,-0.45213227,4.267168238,-3.940720009,3.894403507,4.970626228,-5.998291956,3.417834372,-3.378011487,-2.394455002,-1.549514957,3.186168401,7.558295876,2.081510652,-0.750795871,-0.957180904,3.604747868,-0.791122588,-3.640281371,-12.35123805,-5.285231088,-7.366017003,-5.143353478,-0.140454414,-0.689915259,2.488374603,-0.5064334,7.851350461,-6.113099683,2.599070118,5.173059686,-0.515897636,-2.341933213,3.341070086,6.624124397,0.768134309,-4.983463117,-2.547941518,-4.936135561,-1.870011359,-0.224745399,5.527884675,-4.235337268,-1.011677821,2.432187274,1.766334719,-2.938842981,-2.961827735,3.355753721,5.930143311,4.868113755,-9.168829688,-1.046224258,-0.037865729,3.942439116,-4.078281092,5.848000325,-2.268341608,-0.336046957,-2.44557606,-0.871583886,4.39838231,2.180650157,-3.66195202,-2.074241075,-0.592720854,-4.202986046,-1.083315652,-2.140510332,0.26807458,-2.296920431,0.510465754,-1.980404551,-2.413022583,-1.172872211,-1.161411378,0.071404406,0.527734636,2.0779835,1.200403656,1.477809897,2.672334024,-0.859619406,0.993597083,-1.137756948,-1.258294343,0.952705426,-0.001779797,0.770899617,-2.56257798,1.099561368,-2.667360871,-3.44211827,0.70894227,1.829255877,0.553411177,-1.014781089,-1.48199343,-0.484016212,-1.618198686,-2.380427687,0.590493864,-0.745539532,-0.575191492,2.474401523,-0.203316744,-0.724343733,3.072985754,-2.435979349,0.145313812,0.700621014,0.693453855,-0.142993933,-1.051164987,-0.371456677,-0.20263964,-0.529675,0.268116591,-0.28153149,-1.313576329,1
87.70697557,56.38349857,-43.14653031,23.61943316,7.646934606,13.04107417,-2.963601059,-2.89935459,3.625594497,3.894096085,1.321382353,-0.643215367,-0.20518621,-3.218819854,-0.955461905,-4.189396093,4.164027473,-1.730458833,-3.409744473,-1.058903125,5.37932175,-1.56853504,2.433557287,6.241841704,-2.324011613,-6.770253318,-0.694285147,-4.076160367,5.136158711,-0.09132653,-1.912121798,0.905284213,0.609795409,-6.828237565,-8.527887158,-4.634250301,0.726219139,-4.09220475,-2.22064661,-0.970689046,7.208912593,0.563301332,3.672040798,-0.131954861,3.46161742,0.154358882,-2.208925293,3.447457749,3.124102711,-3.979994115,-7.136526673,-6.759136785,6.898780145,1.211920588,0.454977777,5.655920576,-0.908090818,5.202840203,4.793536528,-1.683513266,3.089881337,1.824612193,3.985982541,2.866136541,-3.171118715,-0.031514491,-1.403658512,-0.048425494,7.261350155,-0.571521223,1.638934845,5.410435049,-2.485655079,5.706556508,-0.418751091,0.494463481,1.407753263,-3.112857033,4.66916951,1.904499869,-4.122696509,-0.743144886,4.43043418,0.924798637,2.589644875,-1.291899283,-3.084139402,0.337656614,-4.476497564,6.20460265,0.395577565,2.456008759,-4.189440285,0.230277187,0.607739557,-2.593588606,-2.010007662,2.508317065,0.813549635,1.996551349,-3.239903331,1.22978887,-4.528415732,-2.849080898,-0.233000765,-2.676949574,-0.573136084,-0.512487221,0.470895089,2.322046663,-3.415833522,0.035360621,-1.325573615,3.563951641,0.936235255,0.962224845,1.292857165,2.385352618,-1.891564512,-0.27878319,-1.434850604,-0.249257656,0.145905546,-2.312875718,-1.861250641,2.252893118,-1.155585737,0.115803845,-2.027935131,-1.262604519,-1.780907794,-2.318293903,1.351073121,2.288269606,1.965021087,1.814536963,-0.52001215,1.33368851,1.302082443,-0.34343548,-0.472866107,-0.652061486,0.035805887,-1.406243467,1.312822994,-0.381584999,0.463425464,0.619829669,-0.156034681,0.247095643,0.927138516,-0.352122818,0.315846188,-1.595964862,-0.7773803,0
91.65192641,53.92773349,-36.62444669,17.99047474,1.929777048,9.382753223,-4.589993487,-0.790048169,6.015016509,3.733019153,-5.19845498,3.086621322,-1.773292935,1.11125248,0.295553198,-8.186924216,5.092008645,4.060158266,-1.05106688,-3.713852626,15.60487118,5.330942274,-3.51360864,8.513233486,-2.561433522,3.384568526,9.040099398,-6.127535874,-6.077582235,3.258350358,-7.152039492,-0.819060681,-6.744189225,-0.503222881,-6.43474316,3.887558284,-3.556992366,-3.29947941,10.24986635,-5.146067828,2.912035118,-3.021327221,-10.94423967,0.681921788,0.467392467,2.926420245,-4.286415463,-0.941737104,2.073802767,-1.790723692,2.269468432,-3.031048697,-3.181087543,-5.045377487,2.221930372,-3.084997803,2.222908463,0.841243673,-2.414237513,-1.927676552,-1.201685842,7.42813576,-3.071978165,-4.887143017,4.54343938,3.236255611,2.603996431,-1.158154614,-1.04537163,4.809625459,0.383472237,2.353271124,1.718812013,3.322341798,-2.874245912,-3.177927931,1.647797997,0.914307941,2.72451333,4.753092844,1.197085171,-0.480736486,1.966967871,-2.906791299,2.198655006,1.245402897,1.634888497,0.439538364,-5.116097624,-1.930748906,3.879302079,-0.812505008,-2.8792632,0.594184959,-4.973333942,4.352119336,-3.762655427,-0.329205706,3.05097674,-2.871813505,-0.125123186,3.438357459,2.094996523,0.881780134,2.596811125,0.02531616,2.929192032,-1.611765843,-2.108516319,-1.490096358,0.375435961,0.834652464,0.809563823,0.068640351,0.10189128,0.908523174,0.84913295,-0.875660934,2.836726799,0.657998465,-2.026574158,0.203984237,-0.363267227,-0.0792918,0.649965937,0.353061978,0.467749037,-1.794731341,-1.768913753,0.209772006,-3.889859997,-0.119804706,1.672703573,1.338235782,-0.214107566,-0.408766054,-0.788462658,-0.333014321,-1.296639064,0.580555733,0.343093547,0.598753924,0.612876431,-1.581685662,-1.487400624,-0.00430122,-1.17115761,-1.078653885,1.564377407,-1.080125384,-0.563667474,-0.521191371,-0.361130632,-0.585234141,0.226482918,1
