V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,MOXI
106.1420841,-20.2792003,-6.832023394,4.360352039,-6.072551814,0.881938732,-7.855960119,22.97551483,-6.115827282,-5.343408897,7.042394138,6.421505078,-2.250074789,16.18800321,6.383305774,3.152194079,-2.632991925,15.75092274,13.17237179,-1.956702978,7.050304684,1.482552799,-12.76061492,-8.743159953,-2.824337552,0.576769791,10.52704666,-9.533782693,9.650171132,-2.421436441,-12.31220874,-17.29120428,2.927717959,-4.292182337,3.722037755,3.504682357,-2.182399009,5.470483762,-3.302132731,2.304157274,2.373627088,-2.976648038,2.625705152,2.171081789,-5.101810295,3.306133849,5.069833982,0.321138355,-8.000460597,0.743895285,-0.443822115,-3.684283406,2.5031444,-3.59579543,-2.522445114,2.418465392,-0.209599619,-2.421790144,0.791891212,-1.122719787,-3.74783242,-1.560058043,-4.156194749,-0.5149864,-5.438948472,1.598656333,-4.006571732,5.793478619,6.200680786,-2.815845633,-2.475306949,1.666414877,-1.255783218,-1.168865333,3.279562677,-1.920553991,1.968808317,3.81471498,-5.952763432,-3.651197708,1.014266861,-1.405444219,-4.803789301,2.121387517,2.396258401,-3.272258247,0.985347126,-4.012893552,0.203224887,2.645371912,-2.115938477,-0.937874051,-1.621414306,2.835619736,1.625330849,1.009398665,1.34683192,1.521198989,-0.293653177,3.355701174,0.715398341,-4.536474306,3.101359971,1.481202109,7.147672353,4.272731184,-1.514674315,2.813068616,4.255516193,0.95982591,0.118769673,-2.41040527,1.297289559,1.623217067,-1.466860543,2.69371784,2.179190627,-6.300881852,-3.958368809,-0.915049136,-1.978992635,1.690451434,-0.469184944,0.881683907,-0.445910681,2.383376547,1.357189013,2.837619923,0.08302739,0.665215646,0.953209654,0.165946605,-1.867563772,0.913007503,-1.105022085,1.444502576,0.903856376,-0.799210557,-0.150150612,-0.12965813,0.064561343,0.20082171,-0.765350382,0.071784025,0.805569349,-1.683908363,-0.557689254,-0.29909903,-0.194268017,-0.601061057,-0.304481668,0.381382899,-0.011805765,-0.113711007,0.762683129,1
111.5251974,-21.36527034,7.693148613,-8.858780629,-17.84711179,12.80839087,-3.927498472,-3.834181702,-1.963489579,7.34563597,19.13841892,4.105286165,-3.797997944,10.10904844,9.250731022,7.913415911,-12.53450329,9.870825791,-0.379815101,-3.151747522,-3.993322922,-3.811561287,-2.340516289,-3.846050692,5.54075122,-0.270760398,-5.270926012,-4.73010633,0.88504619,1.245274552,-2.121280763,-5.171841263,-7.050455806,1.398236467,4.844041656,0.117763457,1.694719546,2.575695921,-3.410038736,2.159080728,-4.438934823,3.043667853,-0.16545712,2.743008534,-0.474568636,2.16233946,2.392707547,-0.641184419,-7.779621647,2.259633703,-0.86215725,-0.281352599,-4.849032052,-0.776995404,1.712188707,4.942081824,-1.010106334,1.745773743,3.09661316,0.181088494,1.281307338,3.527410863,5.433267279,2.802527529,-2.904412667,-0.030425141,0.759368537,0.194073221,-3.282968542,-4.260471443,4.817773712,-0.538965593,1.006523377,2.061893669,-3.179677462,-0.584178488,-0.633209389,3.83312995,3.026586368,2.35556653,-0.096542451,-1.940106352,1.250887309,-1.195502428,-2.056823441,0.800976314,-3.972462839,0.76264448,-0.897418196,-1.285254498,-0.550844344,3.864454036,-0.108145064,-0.493218992,-0.759503761,-0.869469679,0.405861592,-1.441711053,-1.347985079,-1.549239347,-1.954098421,0.387376156,-2.486360786,-0.16927497,-2.248472254,0.183873934,0.089250445,-1.684371082,-4.198152091,0.108564801,-0.973597415,2.91930423,-1.94578522,-0.733179596,-1.627973207,-1.755138587,-0.062086627,2.809971909,2.259062189,-0.07270636,0.528063284,1.446736982,0.006157211,-0.034691557,0.375768028,0.602450375,-1.895285268,0.253160208,-0.40154461,-0.936959737,-0.93188915,0.332934538,0.98657212,0.56845493,2.006101305,0.644699052,-1.567424001,0.879260059,-0.056359769,0.452307871,-0.180350615,-0.431543255,-0.455759224,-0.126919815,1.137532694,0.076399497,0.380276799,-1.077518899,0.843941067,-0.972172049,1.327455152,0.056314688,-0.165053204,-0.35091031,-0.336658245,0
97.36486923,-20.66956027,-10.07051701,-8.271121021,-16.47307562,-4.226305899,4.91374788,8.900401178,-18.71482161,21.33321048,-15.20192032,-5.788321302,-0.676782708,12.37695875,-11.40814478,-13.96482467,-12.08317366,9.51203363,-2.968992616,-14.03297049,7.465792563,-18.74014397,15.07605519,-9.585654709,-9.049367446,-6.97425084,2.231871828,4.124929864,-1.472032336,-2.479400702,6.933119524,-0.393678888,-3.460381151,17.79056881,-9.23773485,5.195206543,4.957674346,-4.304419865,-0.626437173,-0.076621676,-1.89296117,0.858774692,-1.695478965,-9.510458127,-4.236672166,3.916573395,4.735354253,5.072984793,11.9909896,-3.920179305,10.27732184,-5.665239841,2.302142499,1.374069316,-1.597654752,-0.670803338,3.113011094,2.957240543,-3.892309124,7.022034355,-2.982717912,1.859276043,4.85283702,-1.64831221,-4.185910264,-4.086277423,-0.490408609,6.22836003,-0.250088043,3.159723862,-0.666083091,0.477648867,-3.843171257,-0.616672612,5.797526228,0.228226468,2.910247156,0.586008415,3.645440902,-2.816809375,-2.893007246,0.101622305,2.320535221,-2.59149315,7.437876705,0.850098688,-0.557651215,-2.099555652,-3.642554263,4.509527074,0.782026011,1.702502296,-1.857549892,-0.402719328,-3.563118457,8.30572595,-5.056762555,5.976098488,-2.554950706,-4.029467003,-0.180874733,3.550592986,3.24341814,5.989625845,-0.007780962,-2.838617685,-0.330214691,2.114620399,-0.654618724,1.500741597,5.977480967,2.214110383,-1.604639853,0.202270315,0.327467788,-4.651196802,4.118141752,-2.807590119,-4.417531171,1.391159572,0.474343026,-1.210185149,2.231983849,-4.941456297,-0.416715242,0.469365318,-1.232625516,1.070344976,0.132272332,0.585434119,0.636818249,-1.625210031,2.07296103,3.377910642,-2.940560294,-0.631433864,-0.939115488,-1.215160472,-0.584897237,1.013354037,-1.780694215,1.008434119,1.06326062,-1.284254122,2.513809986,-0.116408214,-0.002210647,0.491194296,0.721946709,0.045091974,-0.219498774,2.554801266,0.436838632,-0.622780218,-0.817502689,1
113.3571583,-21.81455889,8.494126035,-8.620881661,-22.17736546,3.830141271,-4.563720869,-10.34112597,-4.011297227,-6.386643741,5.476725992,4.900604131,-4.461476787,-1.665336957,3.839049529,-9.357002964,2.396735348,-0.715289283,0.726650498,-1.525981733,-0.966559314,-1.881569998,0.211529533,0.673885639,-2.872490193,-2.012747139,-6.262603596,0.440990534,2.25789429,-0.087694857,-1.397981116,1.590816117,1.500074153,-3.726202543,2.634039337,-9.506496052,0.262509509,0.250880612,1.750599309,-4.2795928,-5.429126447,7.614731664,-2.681664065,-0.56629488,2.183473821,6.824450682,2.726295806,2.920470367,-1.198933526,-1.843560326,-0.720039253,-6.259777982,-2.131481773,-1.219051796,3.290973017,1.355188791,1.811278229,0.241196806,3.433975935,4.961809609,1.536365249,-2.209580831,-0.511971827,-0.317163216,-1.472296368,-2.512268345,-3.555774775,3.217058841,2.638842716,0.190421002,-0.144286352,-0.79042679,2.128383302,-1.112273463,-0.643886277,1.139854693,-0.077780559,-1.474109844,-3.418924595,-5.010779668,-0.170299695,0.994428549,-2.41752434,3.171179618,-0.499189771,-1.018795614,1.786134817,3.062215812,2.636078129,-0.137527741,-0.253894051,-0.340491077,0.439125159,-1.517214549,-0.325639551,4.233684477,-0.440641279,0.091356845,1.273517234,-0.351006941,0.047904497,-1.75721644,0.018446649,-2.913520184,-0.332366163,0.278843015,1.287027297,-3.631822268,-2.107897868,0.583096695,-2.340743258,0.824388139,-2.272924276,0.58880285,0.856937234,4.447611269,1.011315654,2.837755084,-0.939441647,-1.665771964,0.053195909,3.330003107,0.284203935,-1.131945548,1.553615431,1.763017823,-2.028548553,0.727302063,0.399232345,0.674750456,1.23335036,-0.391061542,0.274950803,1.354663628,6.056788689,-7.680507331,-0.413490582,-0.749481148,5.688046665,-4.195084459,1.431103483,2.604408382,5.40401341,-2.043806594,-0.139862974,0.743000308,1.306071996,-2.172962613,4.70913064,-0.448368521,-1.518354465,0.122427587,-0.386274257,1.769164835,-2.183522661,1
104.0399928,-15.96542453,-8.354532731,7.880896219,5.343750622,-5.300377018,-11.26134476,-15.34447128,-17.5155245,14.27916844,10.60191028,3.898077336,-6.219031854,3.041672127,28.14117424,-11.38440795,-12.01119664,4.532060258,-4.118788971,-9.226587114,4.13187136,-0.464934192,4.665570968,0.646470777,8.01782311,5.337116374,-10.66063084,3.185649507,-6.089632148,-0.850356436,0.585520773,-4.467462354,-5.304902247,2.144703473,4.114793197,1.628780529,-2.075751766,-0.183233786,-10.38721372,-1.987982494,-3.348023131,3.484748705,-1.888946616,-2.092964751,1.706974217,-1.542741488,0.938720227,4.650797945,-7.007057104,-1.087312337,4.808000537,-2.772403705,-2.974352255,-5.614055239,0.324960264,-0.491750721,2.030062693,-4.58098862,-3.223911337,4.564331065,-9.521877967,6.779981233,2.612459617,-5.564947966,0.478027874,9.503926721,3.431693244,-3.903632873,-10.39313633,-2.947201465,-4.87076766,-2.731404204,2.312756132,-1.659763879,0.674583928,-2.348925654,-0.36017017,4.744816938,1.646519938,4.321861421,2.530390285,2.366103058,-1.403153371,-5.074207724,0.3484588,-0.272258994,3.274535306,6.296292156,4.99162644,8.184822807,8.768097628,-2.960423139,-0.584007013,3.466310693,6.2332652,0.473299993,-0.470462198,0.148541531,-3.543112319,2.650261674,-0.782015849,-0.039739662,-1.302523705,-2.629104135,-0.367087728,4.012763761,0.54985662,-4.609421923,-5.171445489,-1.272121448,1.151555828,2.411235087,-3.182396925,2.40203392,1.266200988,3.253298652,1.469565353,1.593106564,1.953834645,1.553452554,-2.094922264,1.771909687,0.945878449,1.455647121,-0.830563676,-1.020964557,-0.766637661,-0.843508697,-1.7243788,1.254639188,0.535479863,-0.158483783,-3.561090153,0.502202635,0.747858316,0.755665144,3.654841802,0.283009688,0.626974268,-0.53725297,0.668126078,-1.245296324,0.399278929,-0.119134707,-0.312432984,1.291996548,-3.983781336,1.321674682,1.432450953,-0.995902816,-0.448053219,0.096533261,-0.058094957,-0.596589969,1.363735772,1
105.3303727,-17.2551172,-1.619355611,-1.652013397,-7.793766936,8.68893695,-4.099952893,-20.44658614,-2.716262292,7.560319355,-11.09616153,-0.863597724,-8.683390685,0.547998093,14.81282835,-5.270097406,1.509142736,-1.783189495,0.06481745,6.751449143,-14.74573734,-3.176004925,0.101252986,-0.747090523,1.153026629,-2.892498868,9.662062105,-1.638119996,1.206708607,7.625700581,0.432183331,5.081699023,-6.323296372,3.225128087,-12.87671467,-9.335377191,3.888803178,5.587328599,-6.913762936,2.251771228,4.158592953,7.023347033,-4.15368824,3.954153405,-8.809264263,10.50988792,6.73130304,-5.156982084,-0.722360417,-9.228060944,-6.703845251,-0.530332146,9.124325504,5.96272706,5.553940035,4.208937124,3.823689812,-1.278035115,6.56835862,1.176181186,-1.907725059,-6.289133979,7.150230522,1.136958321,-0.497568391,-1.775633059,2.188830824,0.68864971,3.87871333,4.27424222,-1.896091718,-0.135989146,-4.96948111,2.089515584,-0.195824441,-0.823754352,-0.713204015,1.733452216,5.918362395,-12.03446443,1.601860219,-0.524977835,-3.369662907,8.219466543,0.612258027,1.581012667,4.426932092,4.008201783,8.519313602,3.500040425,1.405128921,2.72033188,-0.625660922,2.198698135,-0.643589408,0.419514771,-2.310094576,-0.508137336,0.49409746,-0.035731549,-0.585833062,0.046231089,-1.869023739,5.035210129,-4.013354009,0.96476169,4.534217106,-1.638887183,-3.012656485,3.597897816,2.435749499,0.531778952,-0.582266592,-3.535658173,1.679543874,7.009750372,2.035202821,4.2528568,-0.756411947,-0.407452355,1.785523682,11.55817439,0.922218701,5.656313558,-3.062081351,-4.403168919,-1.048236902,-0.348548108,-0.914181062,0.442370398,0.533294077,0.085952493,5.212037418,-6.455916464,0.530048831,1.815715412,-2.215622651,4.953758884,-2.548839764,0.950528215,1.559261883,-0.301165108,-5.09511686,2.814051141,3.633662075,-0.585535182,2.297581939,-2.96482533,0.27274637,-1.889841066,3.02396595,0.877688849,-1.242067619,-0.303323396,0.544928924,1
102.0321038,-15.30954803,-11.31562283,11.12333882,1.759728511,-5.860774117,-11.10537759,-18.60967699,-13.77116496,23.89288225,-3.542285692,5.587521168,-5.058141868,4.533215554,23.92140639,-5.961447535,3.253844562,-3.236182715,-1.171415543,5.605820034,4.572721226,-5.531032992,16.97388178,10.49249127,3.357875459,3.910513869,-0.316085352,6.631633322,-3.445700119,-1.860101695,-0.350013631,7.205180052,-5.516472307,-1.306028813,-1.421605616,3.175649556,-0.260923448,-5.079724943,-7.347730498,-3.692339864,-1.344952482,3.411364394,-1.59585545,-0.990882823,1.646935135,-7.135859154,3.467605359,5.842593643,-1.212269131,-3.639178859,5.899664953,-2.060249429,-3.397564557,-2.883913604,-3.533650279,-0.939042021,3.381265751,-2.882066547,-2.3164175,1.009952843,-11.81749318,2.969785157,2.980289532,-11.51317408,3.023400664,6.211787222,0.48545253,-3.838964631,-9.685600913,-1.437622577,-7.416649164,0.332954761,-0.959818361,-0.118015107,0.665407722,-5.46363512,2.972062356,8.166810565,4.741081096,-2.452071499,6.211373551,3.385405309,1.861412913,-5.513615622,7.480507111,0.032568031,3.276048137,3.700578036,3.536738784,6.896106045,7.513355081,-0.745951866,-2.35003,5.023395358,8.420674548,-1.579486962,-0.762517238,3.651162134,-0.507019761,2.355212604,-1.601965976,-0.19808784,-0.763208488,-2.555471904,2.564548422,3.145530018,2.120807355,-4.574826967,-1.550518977,-0.056385659,3.283420501,1.478918082,1.417267344,2.929023343,1.851925392,3.874360217,3.426573438,-0.539540415,0.17527197,-1.655798701,-6.852176919,0.455291255,1.827802374,3.047319515,-1.119198025,-2.662278229,-0.71277374,-3.509454851,0.747028131,-0.13121827,1.710321581,1.702264998,-2.341706655,-2.350172661,2.287599453,0.743979175,-0.650224305,4.051861513,0.315664012,-2.705287239,3.71772865,-1.470606798,-4.92895292,0.456751544,-0.708345089,0.317544702,-1.77139414,-0.964010332,1.473537251,-2.13253159,-0.488129008,0.164241483,-0.764440351,-0.339337593,1.153220364,0
90.14110306,-25.62700265,34.67593059,-9.53050335,5.047603861,4.284352559,2.963890779,6.328096129,-3.596493616,27.02879008,-28.81697464,3.374160714,-2.787278422,1.270028711,18.27086468,-10.87222126,0.799644736,6.526488996,-11.86358177,0.711930184,-10.06772438,3.9173064,6.423461263,13.51688342,6.317905697,9.544884345,9.699606188,-13.12994716,0.693558368,5.599181186,-6.534756763,0.535592772,-1.72583657,6.185487331,-9.931520167,-9.871000491,3.846501264,6.085174419,-11.9493617,-3.225034279,3.912291178,5.949818504,-2.351623402,3.296936356,-3.973067303,2.762762522,12.92446022,-4.350235989,-3.158334662,-8.851386058,-5.247995614,3.414884933,-4.640562441,-2.93874051,0.807373663,6.707877097,6.171947114,-1.629004953,6.408692228,1.668856756,4.538455528,-4.7126111,0.57631147,0.336216781,-1.298823691,-0.858692921,-4.172792915,11.05248383,4.48942067,0.596273919,-5.737559383,-2.663816578,2.60056465,-0.28133305,-7.849898303,3.851330744,2.310914409,-6.417204986,2.781824455,-2.007074096,-1.661641328,3.160918656,-2.250168227,5.898357683,0.779395366,-0.703740454,1.113190353,-4.085085507,4.857464193,2.334510026,-1.50485803,-2.814021678,-1.846546896,-2.404207338,1.744455049,2.032834317,4.944690212,4.997639375,2.559022403,0.927204577,-2.889620572,-1.34960604,2.882831463,-0.897593974,1.125329501,0.498837319,-1.366551689,3.046145715,3.513794263,1.926444042,-3.920015217,-2.08373026,6.307378372,-3.349898174,2.331787933,1.614890408,2.070186061,-0.151686137,-4.19824601,-5.36990982,-6.491701884,1.724176663,-0.748416116,5.496746725,-3.299443925,-0.547948485,-1.458542022,3.011026904,0.5989155,-0.131230887,-0.726802633,4.447102302,2.213682605,-3.792591609,4.337639301,-7.437055011,-2.228469332,2.29818742,4.09724534,-4.125608847,4.540001249,2.947207685,2.345377569,-0.020596501,-0.544402777,-0.862816743,1.084247407,-0.372985538,1.934402621,0.141975259,-2.02533503,1.135571727,-0.206601781,1.126017685,-1.755830342,1
104.4732711,-23.75052769,-14.88094911,-5.889570211,-16.62608431,-0.738899193,-12.0677932,6.221649479,-0.046493465,-3.5625129,-11.53997472,5.079643051,-8.713703809,-16.74819732,-2.101940568,-8.918307965,-2.242842256,-6.22555106,3.236530715,10.22695827,4.789263734,-12.09511189,9.796027621,0.209871285,-13.34572312,-12.96987308,-0.180094112,-8.063061216,-13.39948104,12.76501752,-4.351356617,-18.41240773,-6.611986374,-1.708095355,-4.955847868,-1.699820904,-1.238457788,-1.689558149,-4.535511357,-5.685520113,0.904757769,-0.543955901,-2.418675173,4.654803997,3.706412452,-6.236746759,-2.029134539,-3.18781008,3.283882686,8.160583665,5.769509748,-4.867510103,6.824127928,2.748478743,3.944958666,1.69737587,1.446619696,-5.1155049,-4.560267036,-5.081567787,-1.451116987,-3.521026743,-1.110005696,-3.741869276,-0.625002469,-9.87565871,-0.293085504,-6.30274219,4.183781488,2.3657748,-0.142253365,0.579236554,1.830039828,-2.617955491,-2.485527783,1.451044137,3.987582811,3.279540892,-0.550735245,5.560401987,-5.031805988,3.097157995,1.774348193,-3.220938164,-1.964575174,0.370612073,1.086824166,0.709523755,2.801511398,0.398237839,-3.45068751,-0.927343773,-0.79881523,-2.238773705,0.90177227,1.310092986,0.487445043,-0.994298616,0.023116864,-1.817671613,-0.366939015,-0.848298116,2.558035833,-1.212010153,1.309104352,-1.433940101,1.18426239,1.489281211,1.197659682,-1.244531631,0.076195042,-0.198132742,0.602079429,0.139876731,1.236954953,0.553978896,2.706609967,0.224556491,-0.822390724,0.138191413,1.220950512,-0.625986488,0.759042928,0.887508521,-0.653895026,0.223123205,-0.088817589,0.543907528,-1.074753941,1.327499824,-2.282380592,-0.434416096,-0.743195575,0.068608886,0.682112976,-0.726501271,-0.490489803,-1.421072478,-1.775611847,-0.009867457,0.368499253,-1.555943462,-0.188336809,1.917581872,0.341391042,0.345640592,0.281946913,0.431059185,0.116500684,0.080201603,-0.069357849,-0.54446157,0.454968379,-0.563435792,0.508965606,0
106.2346328,-22.49502293,-16.27235266,-0.803834367,-7.020430084,10.59595555,-13.11235549,3.051236685,6.914447873,-2.04763712,-17.07873416,5.1771288,-14.63417001,-7.826521651,-8.516087619,-3.859101894,3.200251994,7.969915805,2.643310699,7.574683835,3.079679142,-17.92119739,5.52055674,2.996292677,1.010905364,-7.83691326,9.249945105,-6.381068025,-1.011844852,16.26426466,-1.684292132,-2.514639235,-3.038168926,2.301671948,-7.682304927,-9.037574205,-0.652007769,-2.041519755,-8.065489221,0.095337653,-0.632980472,-1.781680399,-9.801893955,11.27023882,0.114174098,-5.911223218,0.559085821,-6.848986077,-1.891639762,-0.494230914,2.438778904,2.015776209,-5.63612052,0.479739083,-4.175455406,-0.262970469,2.152233436,-0.004986884,3.898477037,-2.08248862,1.601839297,0.670640103,-0.107557827,-3.916797598,6.174360486,-0.241113798,0.587932277,-0.594138707,-2.944973475,1.021051193,-2.49980623,-1.026870291,-3.555042889,-2.126418811,1.293701065,-1.924941823,1.166471641,-0.308967888,-2.039478654,-6.946729189,-0.328659475,1.774033933,1.102350183,-0.100252184,5.349711735,-1.897642732,0.092957116,-4.253979708,-2.31320161,2.911199191,-3.07063624,1.722429174,1.887895472,2.433539022,2.34736244,0.247813206,-2.953451823,1.779112509,2.611307462,-1.008076466,4.449564401,0.771611901,-3.39954361,0.467030828,1.108701713,-3.201984802,8.715406979,-0.953256324,0.747587745,-0.841039924,2.998255501,-0.514182884,-1.025657734,5.08758838,-1.993749412,3.264007838,-0.980957534,1.927038849,0.539264902,-2.018475944,-2.402715404,-0.203981529,-0.229827588,-0.581181191,2.202594501,-0.428008651,2.35066522,-5.730596434,5.100972745,-0.586844977,3.294400279,0.459349885,-0.352412526,-2.087883731,-0.229924905,1.330020685,-4.417186618,1.545046163,0.324741578,-1.848100966,2.775400982,0.04204079,-4.231751544,0.964872424,-1.490417831,-1.567609735,2.283122431,-2.490839528,0.069764159,-3.219601877,-0.179532628,-0.491800247,-0.69712312,0.641321384,-2.080717706,1
