Model,Drug,Accuracy,Precision,Recall,rocauc
XGBoost_results(column_modified),EMB,0.9003181336161188,0.9153567110036276,0.969270166453265,0.9373271051674807
logistic_regression_results(PCA),EMB,0.9003181336161188,0.9288389513108615,0.9526248399487837,0.9366869003019238
logistic_regression_results(SMOTE),EMB,0.9013785790031813,0.9502617801047121,0.9295774647887324,0.9365999589004285
logistic_regression_results(column_modified),EMB,0.8886532343584306,0.9183168316831684,0.9500640204865557,0.9354539131534436
SLE_results(PCA),INH,0.9002169197396963,0.8595419847328244,1.0,0.9734683376460169
SLE_results(SMOTE),INH,0.8969631236442517,0.8556231003039514,1.0,0.9755314990822147
SLE_results(column_modified),INH,0.886117136659436,0.842814371257485,1.0,0.9755908706343356
SVM_results(PCA),INH,0.886117136659436,0.842814371257485,1.0,0.9723452257850651
SVM_results(SMOTE),INH,0.8839479392624728,0.8402985074626865,1.0,0.9741857439008099
SVM_results(column_modified),INH,0.8817787418655098,0.8377976190476191,1.0,0.9728548316074352
XGBoost_results(PCA),INH,0.9164859002169198,0.8820754716981132,0.9964476021314387,0.9663239608741472
XGBoost_results(SMOTE),INH,0.9056399132321041,0.8661538461538462,1.0,0.9698318300786178
XGBoost_results(column_modified),INH,0.8969631236442517,0.8556231003039514,1.0,0.9708164083179546
logistic_regression_results(PCA),INH,0.9392624728850325,0.9148936170212766,0.9928952042628775,0.9620838425268533
logistic_regression_results(SMOTE),INH,0.9338394793926247,0.9022435897435898,1.0,0.9696636106809423
logistic_regression_results(column_modified),INH,0.9316702819956616,0.8993610223642172,1.0,0.9696636106809422
SLE_results(PCA),KAN,0.9357429718875502,0.9344608879492601,0.9977426636568849,0.9034270469936384
SLE_results(SMOTE),KAN,0.9618473895582329,0.9669603524229075,0.9909706546275395,0.898625076954648
SLE_results(column_modified),KAN,0.9357429718875502,0.9363057324840764,0.9954853273137697,0.9152062384568027
SVM_results(PCA),KAN,0.9357429718875502,0.9344608879492601,0.9977426636568849,0.8912374307408167
