ID,INH
1,0.01113258
2,0.010580882
3,0.006562213
4,0.010580882
5,0.012804664
6,0.006562213
7,0.012804664
8,0.0036295112
9,0.80310094
10,0.0036295112
11,0.0071021086
12,0.010580882
13,0.010580882
14,0.4324657
15,0.005862806
16,0.012804664
17,0.663973
18,0.010580882
19,0.0071021086
20,0.9684021
21,0.0071021086
22,0.010580882
23,0.0057005854
24,0.80310094
25,0.012804664
26,0.0061037643
27,0.0061037643
28,0.012804664
29,0.93161005
30,0.012804664
31,0.005862806
32,0.17004037
33,0.008778578
34,0.0071021086
35,0.006562213
36,0.93161005
37,0.012804664
38,0.0071021086
39,0.012804664
40,0.80310094
41,0.006562213
42,0.0050377864
43,0.005440668
44,0.9842868
45,0.012804664
46,0.93574387
47,0.0071021086
48,0.010580882
49,0.008778578
50,0.005862806
51,0.9696518
52,0.005862806
53,0.67089105
54,0.0036295112
55,0.00929483
56,0.010580882
57,0.005862806
58,0.005862806
59,0.010580882
60,0.005862806
61,0.0036295112
62,0.012804664
63,0.005862806
64,0.01113258
65,0.00929483
66,0.012804664
67,0.012804664
68,0.93161005
69,0.008778578
70,0.010580882
71,0.005862806
72,0.005862806
73,0.009196483
74,0.0036295112
75,0.1899498
76,0.006562213
77,0.67089105
78,0.010580882
79,0.010580882
80,0.0071021086
81,0.9723635
82,0.0071021086
83,0.005862806
84,0.0071021086
85,0.1899498
86,0.058266625
87,0.010580882
88,0.0050377864
89,0.00929483
90,0.012804664
91,0.9185745
92,0.010580882
93,0.010580882
94,0.65068626
95,0.006562213
96,0.006562213
103,0.010627639
123,0.010580882
126,0.010580882
131,0.010580882
132,0.005862806
144,0.0031040702
145,0.0049438486
146,0.6985848
147,0.00929483
148,0.0042249463
149,0.005015681
150,0.0050377864
151,0.6993183
152,0.9842868
153,0.9842868
154,0.005015681
155,0.9842868
156,0.0061037643
157,0.0049438486
158,0.31611988
159,0.781432
160,0.0061037643
161,0.0060770097
162,0.0077500567
163,0.0050377864
164,0.3582472
165,0.0038879523
166,0.005440668
167,0.0025238565
168,0.00407961
169,0.0031040702
170,0.0077500567
171,0.781432
172,0.005015681
173,0.0038879523
175,0.010580882
181,0.005862806
183,0.00407961
184,0.005015681
185,0.0077500567
186,0.6985848
187,0.004755229
188,0.01113258
189,0.9842868
190,0.0038879523
191,0.6985848
192,0.0049438486
193,0.0076758596
194,0.0076758596
195,0.9842868
196,0.0050377864
197,0.0025238565
198,0.006440125
199,0.8149943
200,0.0050377864
201,0.778785
202,0.010580882
203,0.65981513
204,0.006440125
205,0.9842868
206,0.945983
207,0.9842868
208,0.005862806
209,0.9760894
210,0.84175557
211,0.9760894
212,0.0061037643
213,0.0060770097
214,0.84175557
215,0.0071021086
216,0.65981513
217,0.5292264
218,0.00929483
219,0.00929483
221,0.010580882
222,0.0031177772
223,0.00929483
224,0.01113258
225,0.9842868
226,0.9842868
227,0.9591735
228,0.69223976
229,0.9842868
230,0.9723635
231,0.4863513
232,0.0050377864
233,0.98899543
234,0.0031177772
235,0.91097605
237,0.9842868
238,0.00929483
240,0.785327
241,0.9842868
246,0.9723635
247,0.69223976
248,0.945983
249,0.98899543
250,0.9723635
251,0.012804664
252,0.9723635
253,0.9842868
254,0.9842868
255,0.9723635
256,0.0061037643
257,0.0076758596
258,0.0025238565
259,0.0071021086
260,0.945983
261,0.98418945
262,0.0061037643
263,0.0049438486
265,0.9868707
266,0.8048776
268,0.98899543
269,0.98108804
270,0.006365202
272,0.69223976
273,0.9842868
274,0.9760894
275,0.9842868
276,0.98899543
277,0.9842868
278,0.9760894
279,0.01113258
280,0.005888838
281,0.945983
282,0.9842868
283,0.9723635
284,0.9723635
285,0.9842868
286,0.9760894
287,0.9723635
288,0.9723635
289,0.9523571
290,0.00929483
291,0.9842868
292,0.9868707
293,0.9668191
294,0.945983
297,0.9576748
298,0.9838216
299,0.9842868
300,0.9842868
301,0.9723635
302,0.5292264
303,0.98108804
304,0.9760894
305,0.9760894
306,0.9867423
307,0.9868707
308,0.9723635
309,0.9461918
310,0.9842868
311,0.9760894
312,0.945983
313,0.98108804
314,0.9842868
315,0.9842868
316,0.98108804
317,0.9842868
318,0.9723635
319,0.0071021086
321,0.98108804
322,0.9723635
323,0.9822619
324,0.9723635
325,0.9842868
326,0.9723635
327,0.9842868
328,0.9696518
329,0.9842868
330,0.9788345
331,0.9723635
332,0.9842868
333,0.00929483
334,0.9842868
335,0.9842868
336,0.98899543
337,0.9842868
338,0.945983
339,0.98108804
340,0.98899543
341,0.9842868
342,0.9723635
343,0.9723635
344,0.9760894
345,0.72067106
346,0.98899543
347,0.9788345
348,0.945983
349,0.9842868
350,0.9867423
351,0.98515224
352,0.0092371795
353,0.9842868
354,0.9842868
355,0.9723635
356,0.77167565
357,0.9842868
358,0.9668191
359,0.9842868
360,0.9723635
361,0.9842868
362,0.9668191
363,0.945983
364,0.9842868
365,0.9668191
366,0.9842868
367,0.9842868
368,0.9867423
369,0.9842868
370,0.9514018
371,0.9760894
372,0.9723635
373,0.8210843
374,0.98899543
375,0.9842868
376,0.9696518
377,0.9842868
378,0.9842868
379,0.9842868
380,0.7749721
381,0.98108804
383,0.9842868
384,0.988525
385,0.9760894
386,0.98108804
387,0.9684021
388,0.00929483
389,0.945983
390,0.9842868
391,0.9723635
392,0.0071021086
393,0.9861768
394,0.9723635
395,0.9638976
396,0.9842868
397,0.945983
398,0.98899543
399,0.98899543
400,0.9842868
401,0.9788345
402,0.98899543
403,0.9842868
404,0.98899543
405,0.9723635
406,0.98418945
407,0.98899543
408,0.8210843
409,0.9723635
410,0.9723635
411,0.98899543
412,0.9842868
413,0.6825506
415,0.9760894
416,0.9684021
417,0.9760894
418,0.9842868
419,0.6825506
420,0.98108804
421,0.98108804
423,0.9842868
424,0.9684021
425,0.9788345
426,0.98108804
427,0.9723635
428,0.98899543
429,0.9684021
430,0.9760894
431,0.9723635
432,0.98108804
433,0.945983
435,0.945983
436,0.9723635
437,0.9760894
438,0.9638976
439,0.9842868
440,0.9842868
441,0.9842868
442,0.9842868
443,0.9723635
444,0.98418945
445,0.9842868
446,0.9723635
447,0.9760894
448,0.9842868
449,0.9842868
450,0.9723635
451,0.9842868
452,0.9842868
453,0.9690471
454,0.9433707
456,0.9842868
457,0.9842868
458,0.9723635
459,0.9842868
460,0.9842868
461,0.9842868
462,0.98899543
463,0.9842868
464,0.69223976
465,0.9842868
466,0.98108804
468,0.9842868
469,0.945983
470,0.9842868
471,0.98108804
472,0.945983
473,0.9684021
474,0.9842868
475,0.9842868
476,0.98108804
477,0.9842868
478,0.9842868
479,0.98108804
480,0.9723635
481,0.9842868
482,0.9842868
483,0.5292264
484,0.98108804
485,0.3798539
486,0.98899543
487,0.945983
488,0.9842868
489,0.9842868
490,0.9723635
491,0.9723635
492,0.9723635
493,0.98899543
494,0.9788345
495,0.945983
496,0.69223976
497,0.9842868
498,0.97617286
499,0.9842868
501,0.9684021
502,0.98108804
503,0.9842868
504,0.9723635
505,0.9867423
506,0.9842868
507,0.9842868
508,0.945983
509,0.9842868
511,0.9842868
512,0.9723635
513,0.9842868
514,0.9723635
515,0.9842868
516,0.9723635
517,0.9638976
518,0.9684021
519,0.9842868
520,0.9842868
521,0.9842868
522,0.9723635
525,0.9723635
526,0.8463148
527,0.9842868
528,0.9842868
529,0.94721866
530,0.9760894
531,0.98108804
532,0.9842868
533,0.9842868
534,0.9868707
535,0.98229885
536,0.9723635
537,0.9723635
538,0.9842868
539,0.9842868
540,0.98108804
541,0.945983
542,0.9842868
543,0.0071021086
544,0.9842868
545,0.99081224
546,0.98108804
547,0.98108804
548,0.9842868
550,0.9842868
551,0.9842868
552,0.98108804
553,0.9842868
554,0.006365202
555,0.99081224
556,0.9842868
557,0.9630827
558,0.69223976
559,0.9842868
560,0.9842868
561,0.9842868
562,0.9760894
563,0.9842868
565,0.9842868
566,0.9842868
567,0.0071021086
568,0.9842868
569,0.98899543
571,0.9760894
572,0.98108804
573,0.9868707
574,0.98108804
575,0.93161005
576,0.70091265
577,0.98585457
578,0.9842868
579,0.00929483
580,0.69223976
581,0.9868707
582,0.98108804
583,0.945983
584,0.9760894
585,0.9797514
586,0.945983
587,0.9842868
589,0.9842868
590,0.9867423
591,0.9842868
592,0.9842868
593,0.9842868
594,0.9684021
595,0.9842868
596,0.9723635
597,0.9842868
598,0.010580882
600,0.9723635
601,0.00929483
602,0.9842868
603,0.76363343
604,0.98327166
605,0.98899543
606,0.9760894
607,0.9824729
609,0.9748243
610,0.9723635
611,0.9868707
612,0.9868707
613,0.9868707
614,0.9868707
615,0.9868707
616,0.9868707
617,0.9868707
618,0.9868707
619,0.9868707
620,0.9868707
621,0.9868707
622,0.9868707
623,0.9868707
624,0.9868707
625,0.9868707
626,0.9868707
627,0.9868707
628,0.020754352
629,0.9684021
630,0.98899543
631,0.98418945
632,0.9760894
633,0.9638976
634,0.1899498
635,0.9723635
636,0.005862806
637,0.010580882
638,0.9723635
639,0.7172474
640,0.17187046
641,0.34068185
642,0.67089105
643,0.6234707
644,0.9668191
645,0.9723635
646,0.0071021086
647,0.012804664
648,0.17004037
649,0.0071021086
650,0.7681471
651,0.8354039
652,0.60470504
653,0.0036295112
654,0.005862806
655,0.7279308
656,0.98899543
657,0.0071021086
658,0.7681471
659,0.8354039
660,0.0071021086
661,0.0071021086
662,0.9723635
663,0.24907213
664,0.00929483
665,0.84473747
666,0.006365202
667,0.0071021086
668,0.012804664
669,0.012804664
670,0.010580882
671,0.62800395
672,0.36810002
673,0.9635078
674,0.0048602116
675,0.7279308
676,0.005888838
677,0.9842868
678,0.9868707
679,0.9842868
680,0.01113258
681,0.0061037643
682,0.9591735
683,0.12795104
684,0.40865526
685,0.45758483
686,0.0036295112
687,0.98108804
688,0.98108804
689,0.40865526
690,0.9723635
691,0.9723635
692,0.010627639
693,0.69223976
694,0.62800395
695,0.9842868
696,0.01113258
697,0.47630718
698,0.0036295112
699,0.9344519
700,0.005862806
701,0.69223976
702,0.005862806
703,0.9842868
704,0.005862806
705,0.9723635
706,0.9723635
707,0.005862806
708,0.0071021086
709,0.62800395
710,0.008778578
711,0.012804664
712,0.5588643
713,0.9723635
714,0.012804664
715,0.9723635
716,0.9723635
717,0.0036295112
718,0.9723635
719,0.0071021086
720,0.006562213
721,0.9723635
722,0.012804664
723,0.1899498
724,0.006562213
725,0.010580882
726,0.38102132
727,0.9723635
728,0.008778578
729,0.0071021086
730,0.0071021086
731,0.012804664
732,0.62796646
733,0.0036295112
734,0.008778578
735,0.010580882
736,0.9723635
737,0.80310094
738,0.012804664
739,0.5588643
740,0.9723635
741,0.40601438
742,0.012804664
743,0.9723635
744,0.0050377864
745,0.9842868
746,0.9868707
747,0.012804664
748,0.9842868
749,0.62796646
750,0.010580882
751,0.00929483
752,0.0030076755
753,0.1899498
754,0.0071021086
755,0.51000935
756,0.012804664
757,0.7172474
758,0.93161005
759,0.98108804
760,0.9786597
761,0.736769
762,0.012804664
763,0.0050377864
764,0.0036295112
765,0.9668191
766,0.58461547
767,0.005862806
768,0.010580882
769,0.9723635
770,0.012804664
771,0.9723635
772,0.9842868
773,0.98108804
774,0.17187046
775,0.05078301
776,0.005862806
777,0.005862806
778,0.006562213
779,0.012804664
780,0.48212874
781,0.8974835
782,0.32620603
783,0.9723635
784,0.9723635
785,0.9842868
786,0.98899543
787,0.9842868
788,0.9723635
789,0.9723635
790,0.9723635
791,0.9842868
792,0.9723635
793,0.98899543
794,0.9867423
795,0.9842868
796,0.98327166
797,0.9842868
798,0.98899543
799,0.9842868
800,0.9760894
801,0.9842868
802,0.9800639
803,0.9800639
804,0.004755229
805,0.013683376
806,0.9867423
807,0.020754352
808,0.105309695
809,0.004075906
810,0.105309695
811,0.9842868
812,0.9868707
813,0.9868707
814,0.9842868
815,0.7468513
816,0.012804664
817,0.020754352
818,0.12375973
819,0.00929483
820,0.00929483
821,0.9842868
822,0.9842868
823,0.97352785
824,0.9842868
825,0.9842868
826,0.012804664
827,0.98899543
828,0.98899543
829,0.006440125
830,0.105309695
831,0.020754352
832,0.98899543
833,0.9842868
834,0.9842868
835,0.9868707
836,0.9842868
837,0.020754352
838,0.98899543
839,0.9842868
840,0.98899543
841,0.02480113
842,0.0060770097
843,0.99197394
844,0.9723635
845,0.9842868
846,0.9842868
847,0.00770988
848,0.010678232
849,0.98899543
850,0.98899543
851,0.98899543
852,0.98899543
853,0.9760894
854,0.9777633
855,0.98108804
856,0.9668191
857,0.98108804
858,0.9842868
859,0.9788345
860,0.98899543
861,0.8733385
862,0.69223976
863,0.9842868
864,0.98899543
865,0.9842868
866,0.98899543
867,0.9842868
868,0.9842868
869,0.98108804
870,0.0060770097
871,0.98108804
872,0.9842868
873,0.01113258
874,0.9822619
875,0.98899543
876,0.98899543
877,0.99081224
878,0.70957786
879,0.9842868
880,0.98515224
881,0.96048677
882,0.98899543
883,0.9842868
884,0.9868707
885,0.98899543
886,0.9723635
887,0.98108804
888,0.9842868
889,0.83470696
890,0.97617286
891,0.9842868
892,0.9842868
893,0.014431363
894,0.9519075
895,0.9723635
896,0.945983
897,0.9842868
898,0.9842868
899,0.98899543
900,0.9842868
901,0.98899543
902,0.98899543
903,0.98899543
904,0.98899543
905,0.98899543
906,0.9842868
907,0.9842868
908,0.9842868
909,0.9842868
910,0.9842868
911,0.9842868
912,0.9842868
913,0.9842868
914,0.9842868
915,0.9842868
916,0.9842868
917,0.6825506
918,0.98899543
919,0.98899543
920,0.98899543
921,0.9842868
922,0.98899543
923,0.77105045
924,0.9838216
925,0.9842868
926,0.9842868
927,0.9842868
928,0.7661214
929,0.9842868
930,0.9842868
931,0.98418945
932,0.9842868
933,0.9842868
934,0.9842868
935,0.9842868
936,0.9842868
937,0.8733385
938,0.8733385
939,0.8733385
940,0.9842868
941,0.9842868
942,0.9842868
943,0.9842868
944,0.9842868
945,0.9842868
946,0.9842868
947,0.9842868
948,0.9842868
949,0.9842868
950,0.9842868
951,0.9797514
952,0.49074015
953,0.98899543
954,0.974071
955,0.9760894
956,0.8762777
957,0.9690471
958,0.9723635
959,0.9842868
960,0.020299815
961,0.9450975
962,0.9842868
963,0.9928235
964,0.9842868
965,0.945983
966,0.9788345
967,0.9723635
968,0.9760894
969,0.8210843
970,0.9723635
971,0.9842868
972,0.9842868
973,0.9842868
974,0.9760894
975,0.9523571
976,0.9723635
977,0.9842868
978,0.9760894
979,0.9461918
980,0.105309695
981,0.9532766
982,0.9882162
983,0.9723635
984,0.9532766
985,0.9868707
986,0.9760894
987,0.9760894
988,0.9842868
989,0.9738207
990,0.9748243
991,0.9690471
992,0.9882162
993,0.9760894
994,0.98899543
995,0.98899543
996,0.9842868
997,0.9760894
998,0.9842868
999,0.9842868
1000,0.9842868
