ID,AMK
1,0.99170834
2,0.8883353
3,0.99059
4,0.9945949
5,0.99059
6,0.99059
7,0.9922948
8,0.99159265
9,0.99170834
10,0.99059
11,0.99557734
12,0.99059
13,0.99059
14,0.9953041
15,0.9922948
16,0.99557734
17,0.9934337
18,0.99557734
19,0.99059
20,0.9958742
21,0.9922948
22,0.9945949
23,0.9922948
24,0.994862
25,0.99557734
26,0.99625117
27,0.9928443
28,0.9922948
29,0.9945949
30,0.9881086
31,0.99059
32,0.98996824
33,0.9856673
34,0.98742247
35,0.009548331
36,0.9953041
37,0.9922948
38,0.9916039
39,0.99059
40,0.994862
41,0.98212516
42,0.9951793
43,0.99059
44,0.99414307
45,0.99059
46,0.9953041
47,0.99059
48,0.9945949
49,0.9899256
50,0.9898908
51,0.98637944
52,0.99059
53,0.99192643
54,0.99059
55,0.991979
56,0.9922879
57,0.99059
58,0.99059
59,0.99059
60,0.9945949
61,0.9898908
62,0.9922948
63,0.99059
64,0.9868139
65,0.9928443
66,0.99557734
67,0.99059
68,0.9953041
69,0.9899256
70,0.99059
71,0.9898908
72,0.9898908
73,0.9945949
74,0.99059
75,0.994862
76,0.99059
77,0.99192643
78,0.99059
79,0.99059
80,0.99059
81,0.99426126
82,0.9922948
83,0.99059
84,0.99059
85,0.99170834
86,0.9957961
87,0.99059
88,0.9945949
89,0.99414307
90,0.9922948
91,0.9953041
92,0.9922948
93,0.8883353
94,0.9845843
95,0.9922948
96,0.8198594
97,0.99059
98,0.9945949
99,0.9958742
100,0.9945949
101,0.99059
102,0.9934337
103,0.99059
104,0.9899256
105,0.98791015
106,0.99059
107,0.9922948
108,0.99557734
109,0.9922948
110,0.9958742
111,0.9945949
112,0.9953041
113,0.9934337
114,0.9922948
115,0.99059
116,0.99059
117,0.98791015
118,0.99059
119,0.99542916
120,0.9945949
121,0.009548331
122,0.99059
123,0.994862
124,0.9881086
125,0.9945949
126,0.9922948
127,0.009548331
128,0.99059
129,0.99557734
130,0.016571801
131,0.9922948
132,0.9945949
133,0.99059
134,0.99557734
135,0.9922948
136,0.9922948
137,0.9945949
138,0.9922948
139,0.9945949
140,0.99059
141,0.9945949
142,0.99059
143,0.9922948
144,0.9934337
145,0.9934337
146,0.9934337
147,0.9934337
148,0.9934337
149,0.9934337
150,0.9703838
151,0.9957961
152,0.9934337
153,0.9934337
154,0.9934337
155,0.9934337
156,0.991979
157,0.9934337
158,0.9957961
159,0.9934337
160,0.9958742
161,0.9934337
162,0.9934337
163,0.9934337
164,0.994862
165,0.9934337
166,0.99059
167,0.9934337
168,0.9934337
169,0.9934337
170,0.9934337
171,0.9934337
172,0.9934337
173,0.9934337
174,0.9953041
175,0.8198594
176,0.9922948
177,0.9922948
178,0.016571801
179,0.9945949
180,0.99059
181,0.9945949
182,0.9945949
183,0.9934337
184,0.9934337
185,0.9934337
186,0.9934337
187,0.9934337
188,0.9922948
189,0.9958742
190,0.9934337
191,0.9934337
192,0.9934337
193,0.97261626
194,0.97261626
195,0.9958742
196,0.98474437
197,0.989856
198,0.993807
200,0.9828272
202,0.99059
204,0.993807
206,0.99414307
208,0.9922948
212,0.99557734
213,0.99557734
215,0.99059
216,0.9912573
217,0.010834258
218,0.9949574
219,0.9934337
220,0.99414307
221,0.016571801
222,0.9934337
224,0.9934337
227,0.9934337
228,0.9957961
231,0.9957961
232,0.9934337
234,0.9934337
235,0.99447626
236,0.9934337
238,0.9949574
239,0.9945949
240,0.798927
242,0.994862
243,0.99023926
244,0.9953041
245,0.994862
247,0.994862
251,0.99557734
256,0.019385295
257,0.99255
258,0.9928443
259,0.9922948
262,0.98532146
263,0.9928443
264,0.99625117
266,0.798927
267,0.9934337
270,0.99498063
271,0.9842532
272,0.994862
278,0.9934337
279,0.99063593
280,0.99605596
281,0.99414307
287,0.9953041
289,0.798927
290,0.99063593
296,0.993807
302,0.994862
307,0.98474437
316,0.99537355
319,0.99059
320,0.9885684
325,0.99605596
333,0.798927
345,0.9957961
352,0.9934337
356,0.994862
363,0.9934337
380,0.9957961
381,0.9934337
388,0.9934337
392,0.9922948
398,0.9934337
413,0.9957961
422,0.9957961
431,0.9953041
455,0.9934337
467,0.99063593
483,0.010834258
485,0.9957961
488,0.9934337
498,0.99063593
503,0.9934337
510,0.9934337
524,0.9934337
543,0.9922948
549,0.9824488
554,0.99498063
559,0.9958742
565,0.9958742
567,0.99159265
576,0.9934337
579,0.99063593
588,0.9934337
598,0.009548331
599,0.991979
601,0.9934337
603,0.99625117
628,0.798927
805,0.9934337
809,0.009548331
816,0.016571801
826,0.99557734
841,0.9934337
847,0.9934337
893,0.9934337
951,0.9953041
952,0.99557734
953,0.9934337
954,0.99414307
955,0.9934337
956,0.9834885
957,0.9934337
958,0.9953041
959,0.9934337
960,0.9934337
961,0.9953041
962,0.99537355
963,0.9934337
964,0.9934337
965,0.9934337
966,0.9958742
967,0.9953041
968,0.9834885
969,0.9957961
970,0.9953041
971,0.9934337
972,0.951211
973,0.9934337
974,0.9934337
975,0.9934337
976,0.9953041
977,0.9934337
978,0.9834885
979,0.9953041
980,0.9934337
981,0.9834885
982,0.9934337
983,0.9953041
984,0.9834885
985,0.99537355
986,0.9934337
987,0.9834885
988,0.9922255
989,0.9934337
990,0.9934337
991,0.9934337
992,0.9934337
