ID,EMB
1,0.03551724
2,0.027439015
3,0.295826
4,0.020855375
5,0.027963758
6,0.295826
7,0.42639202
8,0.760834
9,0.03973385
10,0.7966134
11,0.07046999
12,0.10251909
13,0.10251909
14,0.56883514
15,0.31800023
16,0.042007733
17,0.98434824
18,0.02638993
19,0.37157872
20,0.9983028
21,0.2886673
22,0.020855375
23,0.8073009
24,0.95341873
25,0.042007733
26,0.8951545
27,0.91840035
28,0.77234304
29,0.063400015
30,0.027439015
31,0.45219076
32,0.92513573
33,0.045302007
34,0.048936058
35,0.046520155
36,0.97380203
37,0.42639202
38,0.79021376
39,0.027963758
40,0.95341873
41,0.56134003
42,0.04043058
43,0.36779281
44,0.9967996
45,0.027963758
46,0.724727
47,0.6765806
48,0.020855375
49,0.020855375
50,0.008332831
51,0.9882371
52,0.34517074
53,0.12492634
54,0.080609255
55,0.9511124
56,0.020855375
57,0.45219076
58,0.20446156
59,0.13863066
60,0.032520782
61,0.24212688
62,0.42639202
63,0.11234667
64,0.48334283
65,0.977206
66,0.042007733
67,0.027963758
68,0.97380203
69,0.020855375
70,0.079225555
71,0.10172723
72,0.52230453
73,0.03551724
74,0.24375466
75,0.95236456
76,0.049079176
77,0.12492634
78,0.10251909
79,0.10251909
80,0.89153224
81,0.9576454
82,0.891064
83,0.25840178
84,0.89153224
85,0.04538052
86,0.97909546
87,0.08327685
88,0.033134308
89,0.23311809
90,0.073530756
91,0.97380203
92,0.083167195
93,0.019737415
94,0.024211412
95,0.07359382
96,0.117003
103,0.5323846
123,0.005074172
126,0.083167195
131,0.083167195
132,0.014850857
144,0.93980896
145,0.49990514
146,0.98385715
147,0.9827885
148,0.3376957
149,0.6212729
150,0.64454675
151,0.9005873
152,0.99459654
153,0.9950655
154,0.6212729
155,0.9950655
156,0.86208254
157,0.9436493
158,0.9525178
159,0.28506228
160,0.76335716
161,0.44040236
162,0.34713426
163,0.3609416
164,0.97721124
165,0.6348618
166,0.49902213
167,0.58112824
168,0.48485398
169,0.9383895
170,0.34713426
171,0.28506228
172,0.6212729
173,0.8903002
175,0.062115353
181,0.014850857
183,0.5191635
184,0.6212729
185,0.34713426
186,0.98385715
187,0.4178844
188,0.9161851
189,0.99814105
190,0.6348618
191,0.98385715
192,0.9259071
193,0.42616248
194,0.42616248
195,0.99814105
196,0.60633546
197,0.65560967
198,0.9503381
199,0.99352384
200,0.06172963
201,0.9944636
202,0.20961702
203,0.9949687
204,0.9503381
205,0.9950617
206,0.996802
207,0.9950617
208,0.064533874
209,0.9950655
210,0.9968928
211,0.9950655
212,0.084090285
213,0.11673279
214,0.9924932
215,0.6241862
216,0.9949687
217,0.08848132
218,0.98084736
219,0.9758312
220,0.996802
221,0.015144768
222,0.6505254
223,0.15138641
224,0.95935524
225,0.9970667
226,0.9950655
227,0.22312404
228,0.9711391
229,0.9950655
230,0.97380203
231,0.94932973
232,0.423785
233,0.9976673
234,0.6920491
235,0.9785169
236,0.9771854
