ID,KAN
1,0.9718427
2,0.91843414
3,0.9445253
4,0.9213758
5,0.9688544
6,0.9445253
7,0.9636812
8,0.98027724
9,0.9718427
10,0.9718427
11,0.9718427
12,0.9153818
13,0.8937132
14,0.95187277
15,0.9465146
16,0.9736702
17,0.96846694
18,0.9213758
19,0.961188
20,0.97710365
21,0.961188
22,0.9213758
23,0.9718427
24,0.95956177
25,0.95956177
26,0.96620274
27,0.9519471
28,0.95956177
29,0.93551004
30,0.9715675
31,0.9445839
32,0.8956915
33,0.8656785
34,0.9682823
35,0.0064703007
36,0.95956177
37,0.9636812
38,0.961188
39,0.9688544
40,0.95956177
41,0.97092706
42,0.9608406
43,0.9416484
44,0.9771708
45,0.96028477
46,0.8974342
47,0.961188
48,0.9213758
49,0.85514754
50,0.92085075
51,0.5836961
52,0.96372044
53,0.9244168
54,0.82312304
55,0.9771708
56,0.93779737
57,0.9445839
58,0.9244168
59,0.9213758
60,0.9445839
61,0.94245625
62,0.9445253
63,0.9244168
64,0.96133333
65,0.9771708
66,0.95956177
67,0.96028477
68,0.95956177
69,0.85398054
70,0.9275001
71,0.89121616
72,0.94245625
73,0.9445839
74,0.93779737
75,0.961188
76,0.9244168
77,0.9244168
78,0.9244168
79,0.8937132
80,0.9718427
81,0.9718427
82,0.9718427
83,0.9490005
84,0.9682823
85,0.95634097
86,0.9682823
87,0.10851811
88,0.83521533
89,0.9833189
90,0.97235245
91,0.9228041
92,0.8937132
93,0.9194702
94,0.5814495
95,0.9213758
96,0.79959804
97,0.95956177
98,0.87302107
99,0.9715702
100,0.36924258
101,0.8814312
102,0.96675706
103,0.7125117
104,0.9228041
105,0.36980358
106,0.9445839
107,0.8937132
108,0.8655076
109,0.9445253
110,0.9661045
111,0.36924258
112,0.95956177
113,0.97551584
114,0.887738
115,0.16406639
116,0.895587
117,0.36980358
118,0.9445839
119,0.9597129
120,0.9213758
121,0.0063401205
122,0.9595542
123,0.9388846
124,0.3588166
125,0.46048898
126,0.8937132
127,0.010675718
128,0.9445839
129,0.9447098
130,0.00921738
131,0.8937132
132,0.46048898
133,0.85514754
134,0.9447098
135,0.8937132
136,0.8937132
137,0.9445839
138,0.895587
139,0.36924258
140,0.8274353
141,0.9213758
142,0.25469616
143,0.8937132
144,0.9771708
145,0.96620274
146,0.96258295
147,0.98446965
148,0.968489
149,0.9609295
150,0.9272937
151,0.9839002
152,0.9784117
153,0.9519471
154,0.9609295
155,0.9519471
156,0.96675706
157,0.9771708
158,0.94860965
159,0.94860965
160,0.9567376
161,0.93231046
162,0.9652462
163,0.98250383
164,0.9771708
165,0.97348714
166,0.96345145
167,0.9752759
168,0.94860965
169,0.9771708
170,0.9652462
171,0.94860965
172,0.9609295
173,0.97551584
174,0.95956177
175,0.9135349
176,0.8937132
177,0.94037944
178,0.005509201
179,0.36924258
180,0.9315642
181,0.46048898
182,0.36924258
183,0.9519938
184,0.9609295
185,0.9652462
186,0.96258295
187,0.6456704
188,0.9718427
189,0.9754439
190,0.97348714
191,0.96258295
192,0.9789412
193,0.9426459
194,0.9426459
195,0.87739813
196,0.6881252
197,0.987398
198,0.97985476
200,0.2895706
202,0.9213758
204,0.97985476
206,0.97551584
208,0.92136174
212,0.96675706
213,0.9581337
215,0.97064376
216,0.9794136
217,0.014910971
218,0.96818984
219,0.8855173
220,0.96675706
221,0.0064703007
222,0.9542685
224,0.97977763
227,0.962372
228,0.9718427
231,0.96675706
232,0.9528004
234,0.8284248
235,0.92681366
236,0.9789412
238,0.96818984
239,0.85514754
240,0.9822291
242,0.95956177
243,0.95956177
244,0.9445253
245,0.95956177
247,0.95956177
251,0.8104269
256,0.010315517
257,0.96052414
258,0.98415
259,0.97190845
262,0.972851
263,0.96407264
264,0.96675706
266,0.9784117
267,0.97551584
270,0.8905478
271,0.9797523
272,0.95956177
278,0.98477954
279,0.877721
280,0.895587
281,0.97551584
287,0.95956177
289,0.9317074
290,0.97551584
296,0.96914476
302,0.9445839
307,0.97986585
316,0.9514083
319,0.95956177
320,0.9326123
325,0.9754439
333,0.9821322
345,0.97551584
352,0.97800535
356,0.95956177
363,0.97551584
380,0.9542685
381,0.9770586
388,0.96675706
392,0.97235245
398,0.9822291
413,0.9771708
422,0.9771708
431,0.9445253
455,0.96675706
467,0.9617923
483,0.014910971
485,0.98473006
488,0.9519471
498,0.98709214
503,0.96675706
510,0.98709214
524,0.96675706
543,0.95956177
549,0.9566374
554,0.8905478
559,0.9754439
565,0.9754439
567,0.92371327
576,0.90901506
579,0.97551584
588,0.9849177
598,0.005368131
599,0.9617923
601,0.96675706
603,0.9754439
628,0.9834381
631,0.9538756
632,0.987398
633,0.9871417
634,0.961188
635,0.97194934
636,0.9244168
637,0.9213758
638,0.9718427
639,0.8090135
640,0.9588346
641,0.005509201
642,0.8937132
643,0.9445839
644,0.9228041
645,0.95956177
646,0.9718427
647,0.9445253
648,0.9718427
649,0.9718427
650,0.95956177
651,0.9553071
652,0.9213758
653,0.9718427
654,0.9445839
655,0.025097698
656,0.9822291
657,0.9718427
658,0.95956177
659,0.9553071
660,0.9718427
661,0.9718427
662,0.95956177
663,0.9244168
664,0.9188589
665,0.9207169
666,0.96991986
667,0.97235245
668,0.9445253
669,0.95956177
670,0.8937132
671,0.8634546
672,0.9145455
673,0.0064703007
674,0.1468716
675,0.8831391
676,0.019213546
677,0.96620274
678,0.9756089
679,0.97551584
680,0.9718427
681,0.877721
682,0.72642744
683,0.97551584
684,0.83913547
685,0.9448564
686,0.96103406
687,0.9418091
688,0.9418091
689,0.83913547
694,0.310178
695,0.97551584
697,0.9469364
698,0.98005587
699,0.9431874
700,0.95969087
701,0.9445253
702,0.009406079
703,0.9771708
704,0.9422931
705,0.95956177
706,0.95956177
707,0.012853543
708,0.9718427
709,0.85514754
710,0.8634546
711,0.95956177
712,0.0063401205
713,0.95956177
714,0.95956177
715,0.95956177
716,0.95956177
717,0.8733937
718,0.95956177
719,0.961188
720,0.0064703007
721,0.95956177
722,0.95956177
723,0.908783
724,0.9445839
725,0.95648795
726,0.8497891
727,0.95956177
728,0.111351684
729,0.97092706
730,0.97092706
731,0.9718427
732,0.9696399
733,0.9718427
734,0.0063401205
735,0.9447098
736,0.95956177
737,0.9249471
738,0.95203185
739,0.72792715
740,0.95956177
741,0.95726335
742,0.95956177
743,0.95956177
744,0.9658747
745,0.97551584
746,0.9756089
747,0.9715675
748,0.97551584
749,0.95956177
750,0.8870029
751,0.98523027
752,0.8956915
753,0.961188
754,0.97963023
755,0.0063401205
756,0.9445253
757,0.85398054
758,0.9445253
759,0.9418091
760,0.9456155
761,0.9688382
762,0.9445253
763,0.9634313
764,0.97092706
765,0.92579424
766,0.96620274
767,0.95969087
768,0.7832683
769,0.95956177
770,0.93745136
771,0.95956177
772,0.97551584
773,0.9207169
774,0.9588346
775,0.96429193
776,0.009406079
777,0.009406079
778,0.0078077503
779,0.84432256
780,0.914559
781,0.96620274
782,0.9445839
783,0.95956177
784,0.95956177
785,0.97551584
786,0.9822291
787,0.97551584
788,0.95956177
789,0.95956177
790,0.9794136
791,0.97551584
792,0.95956177
805,0.9891986
809,0.012712128
816,0.0064703007
826,0.9714595
841,0.9828037
847,0.9456155
893,0.97693205
951,0.92417437
952,0.45884952
953,0.9822291
954,0.965474
955,0.97551584
956,0.98734933
957,0.97778624
958,0.95956177
959,0.9542685
960,0.9833476
961,0.95956177
962,0.9754439
963,0.9821322
964,0.96675706
965,0.79927725
966,0.9788792
967,0.95956177
968,0.98734933
969,0.8397258
970,0.95956177
971,0.96675706
972,0.96675706
973,0.96675706
974,0.97551584
975,0.946824
976,0.95956177
977,0.9784117
978,0.98734933
979,0.9213758
980,0.96146864
981,0.98425204
982,0.97778624
983,0.9718427
984,0.98425204
985,0.9754439
986,0.97551584
987,0.98734933
988,0.9797523
989,0.9473128
990,0.96675706
991,0.80753094
992,0.97778624
