ID,RIF
1,0.11696222
2,0.005066234
3,0.0039507584
4,0.005066234
5,0.00584155
6,0.0039507584
7,0.00584155
8,0.03942162
9,0.015780961
10,0.011467693
11,0.15815587
12,0.005066234
13,0.005066234
14,0.02047576
15,0.018974042
16,0.00584155
17,0.041240226
18,0.005066234
19,0.038611393
20,0.95487875
21,0.15815587
22,0.005066234
23,0.01757979
24,0.08317618
25,0.00584155
26,0.010864891
27,0.01109455
28,0.01109455
29,0.09283903
30,0.0058612777
31,0.017239401
32,0.62375075
33,0.0041198167
34,0.012599842
35,0.0021416743
36,0.09283903
37,0.00584155
38,0.017567342
39,0.00584155
40,0.07408293
41,0.0039507584
42,0.005066234
43,0.0029970747
44,0.98460764
45,0.00584155
46,0.86301905
47,0.038611393
48,0.005066234
49,0.0041198167
50,0.013586585
51,0.9625055
52,0.010084273
53,0.019376284
54,0.009176054
55,0.12994134
56,0.005066234
57,0.017239401
58,0.018974042
59,0.0037472432
60,0.0130209
61,0.012366878
62,0.01109455
63,0.01279188
64,0.13462594
65,0.029476168
66,0.00584155
67,0.014035067
68,0.09283903
69,0.009262573
70,0.005066234
71,0.0085914135
72,0.018974042
73,0.018974042
74,0.009176054
75,0.75278515
76,0.0034255318
77,0.019376284
78,0.003766745
79,0.005066234
80,0.10856996
81,0.9550728
82,0.11800282
83,0.010084273
84,0.10856996
85,0.68439746
86,0.08542479
87,0.002857353
88,0.005066234
89,0.28427047
90,0.0043440606
91,0.05537542
92,0.005066234
93,0.003766745
94,0.6379126
95,0.0034255318
96,0.0034255318
103,0.0047509884
123,0.005066234
126,0.005066234
131,0.005066234
132,0.013214513
144,0.1122212
145,0.0049556172
146,0.094031915
147,0.9891294
148,0.0044334745
149,0.016582405
150,0.005066234
151,0.8518312
152,0.99397403
153,0.94582886
154,0.016582405
155,0.94582886
156,0.00584155
157,0.0049556172
158,0.07505474
159,0.09189577
160,0.00584155
161,0.443657
162,0.026762363
163,0.0064794323
164,0.055790477
165,0.008258427
166,0.0030585001
167,0.0034255318
168,0.0056067863
169,0.2561025
170,0.026762363
171,0.09189577
172,0.016582405
173,0.009517589
175,0.0048244763
181,0.013214513
183,0.004297378
184,0.016582405
185,0.026762363
186,0.094031915
187,0.016422715
188,0.021089364
189,0.99397403
190,0.008258427
191,0.094031915
192,0.0049556172
193,0.035290524
194,0.035290524
195,0.99397403
196,0.005066234
197,0.003964126
198,0.29236645
199,0.98960835
200,0.003844322
201,0.91083646
