ID,EMB
1,0.09276312
2,0.14488077
3,0.33818159
4,0.07739285
5,0.036156267
6,0.33818159
7,0.39074662
8,0.94442385
9,0.25945798
10,0.7315579
11,0.3162407
12,0.54777145
13,0.54777145
14,0.49965352
15,0.8398481
16,0.21254443
17,0.9912316
18,0.14174734
19,0.44778696
20,0.9956351
21,0.36629492
22,0.07739285
23,0.79668576
24,0.95735806
25,0.21254443
26,0.67232
27,0.8034477
28,0.8258946
29,0.07720505
30,0.21684745
31,0.8511248
32,0.94913316
33,0.24559115
34,0.13099718
35,0.22874555
36,0.97946507
37,0.39074662
38,0.5611653
39,0.036156267
40,0.95735806
41,0.5793632
42,0.07133718
43,0.54590786
44,0.9962379
45,0.036156267
46,0.6429127
47,0.79259586
48,0.07739285
49,0.07739285
50,0.07909382
51,0.9836616
52,0.9478048
53,0.306768
54,0.24555211
55,0.96565354
56,0.07739285
57,0.8511248
58,0.7846645
59,0.83593184
60,0.12567474
61,0.9122662
62,0.39074662
63,0.39957482
64,0.49629074
65,0.9039195
66,0.21254443
67,0.048648704
68,0.97946507
69,0.10261614
70,0.5011938
71,0.33805552
72,0.97345823
73,0.12567474
74,0.80801547
75,0.973004
76,0.29141986
77,0.306768
78,0.50554115
79,0.54777145
80,0.9501093
81,0.9890983
82,0.9441544
83,0.39076534
84,0.9501093
85,0.21286109
86,0.97395384
87,0.3745844
88,0.07739285
89,0.24148396
90,0.045481727
91,0.97946507
92,0.28183624
93,0.06275205
94,0.17268725
95,0.538659
96,0.8350789
103,0.60501766
123,0.023687216
126,0.28183624
131,0.28183624
132,0.069627196
144,0.9627119
145,0.47158283
146,0.9575394
147,0.9847572
148,0.6005954
149,0.802058
150,0.85709846
151,0.9857862
152,0.9962379
153,0.9962379
154,0.802058
155,0.9962379
156,0.8213255
157,0.9642482
158,0.9244791
159,0.5832797
160,0.620413
161,0.5609474
162,0.5607383
163,0.606434
164,0.98688406
165,0.88496554
166,0.6824786
167,0.88496554
168,0.57390916
169,0.9429511
170,0.5607383
171,0.5832797
172,0.802058
173,0.9263218
175,0.23851861
181,0.069627196
183,0.6531839
184,0.802058
185,0.5607383
186,0.9575394
187,0.7547566
188,0.9441544
189,0.9947137
190,0.88496554
191,0.9575394
192,0.95350695
193,0.5619738
194,0.5619738
195,0.9947137
196,0.8428812
197,0.89868325
198,0.97421455
199,0.9959584
200,0.27559683
201,0.9962379
202,0.83593184
203,0.9967493
204,0.97421455
205,0.9962379
206,0.99566334
207,0.9962379
208,0.49212903
209,0.9962379
210,0.9967493
211,0.9962379
212,0.2575606
213,0.37282124
214,0.99204004
215,0.78090644
216,0.9967493
217,0.2625947
218,0.9612736
219,0.9847572
220,0.9962379
221,0.08872997
222,0.54977816
223,0.27634236
224,0.9770603
225,0.995291
226,0.9962379
227,0.75845104
228,0.9813262
229,0.9962379
230,0.9944559
231,0.963449
232,0.55048627
233,0.99819607
234,0.81690705
235,0.9923419
236,0.9943047
237,0.9947137
238,0.9612736
239,0.3936074
240,0.99819607
241,0.9947137
242,0.98829436
243,0.9944559
244,0.9533212
245,0.98829436
246,0.9944559
247,0.98829436
248,0.9928364
249,0.99819607
250,0.9890983
251,0.21254443
252,0.9944559
253,0.9962379
254,0.9962379
255,0.9890983
256,0.4558804
257,0.93068117
258,0.81137615
259,0.9441544
260,0.99566334
261,0.9962379
262,0.39179844
263,0.44157848
264,0.9929389
265,0.9962379
266,0.9962379
267,0.9962379
268,0.99819607
269,0.9962379
270,0.077291295
271,0.9941559
272,0.98829436
273,0.9962379
274,0.9934953
275,0.9962379
276,0.99819607
277,0.9962379
278,0.9962379
279,0.9910609
280,0.10549751
281,0.99566334
282,0.9962379
283,0.9944559
284,0.9944559
285,0.9962379
286,0.9934953
287,0.9944559
288,0.9944559
289,0.99150836
290,0.9910609
291,0.9962379
292,0.995291
293,0.9758346
294,0.99566334
296,0.995291
297,0.995297
298,0.9962379
299,0.9925896
300,0.9962379
301,0.9944559
302,0.9877309
