ID,AMK
1,0.99179274
2,0.976532
3,0.99179274
4,0.99179274
5,0.99179274
6,0.99179274
7,0.98766077
8,0.98363596
9,0.99179274
10,0.99179274
11,0.98766077
12,0.99179274
13,0.99179274
14,0.98766077
15,0.99179274
16,0.98766077
17,0.99179274
18,0.98766077
19,0.99179274
20,0.99179274
21,0.98766077
22,0.99179274
23,0.98766077
24,0.99179274
25,0.98766077
26,0.99179274
27,0.9892663
28,0.98766077
29,0.99179274
30,0.98363596
31,0.99179274
32,0.98231965
33,0.98711836
34,0.9887156
35,0.09485751
36,0.99179274
37,0.98766077
38,0.99179274
39,0.99179274
40,0.99179274
41,0.98306066
42,0.99179274
43,0.99179274
44,0.99179274
45,0.99179274
46,0.99179274
47,0.99179274
48,0.99179274
49,0.98711836
50,0.976532
51,0.9887156
52,0.99179274
53,0.98777336
54,0.99179274
55,0.99179274
56,0.9883662
57,0.99179274
58,0.99179274
59,0.99179274
60,0.99179274
61,0.976532
62,0.98766077
63,0.99179274
64,0.97571963
65,0.99179274
66,0.98766077
67,0.99179274
68,0.99179274
69,0.98711836
70,0.99179274
71,0.9649879
72,0.976532
73,0.99179274
74,0.99179274
75,0.99179274
76,0.99179274
77,0.98777336
78,0.99179274
79,0.99179274
80,0.99179274
81,0.99179274
82,0.98766077
83,0.99179274
84,0.99179274
85,0.99179274
86,0.9892663
87,0.99179274
88,0.99179274
89,0.99179274
90,0.98766077
91,0.99179274
92,0.98766077
93,0.976532
94,0.98711836
95,0.98766077
96,0.976532
97,0.99179274
98,0.99179274
99,0.99179274
100,0.99179274
101,0.99179274
102,0.99179274
103,0.99179274
104,0.98711836
105,0.9816551
106,0.99179274
107,0.98766077
108,0.99179274
109,0.98766077
110,0.99179274
111,0.99179274
112,0.99179274
113,0.99179274
114,0.98766077
115,0.99179274
116,0.99179274
117,0.9816551
118,0.99179274
119,0.98363596
120,0.99179274
121,0.09485751
122,0.99179274
123,0.99179274
124,0.98363596
125,0.99179274
126,0.98766077
127,0.09485751
128,0.99179274
129,0.98766077
130,0.09485751
131,0.98766077
132,0.99179274
133,0.99179274
134,0.98766077
135,0.98766077
136,0.98766077
137,0.99179274
138,0.98766077
139,0.99179274
140,0.99179274
141,0.99179274
142,0.99179274
143,0.98766077
144,0.99179274
145,0.99179274
146,0.99179274
147,0.99179274
148,0.9892663
149,0.99179274
150,0.9887156
151,0.99179274
152,0.99179274
153,0.99179274
154,0.99179274
155,0.99179274
156,0.99179274
157,0.99179274
158,0.99179274
159,0.99179274
160,0.99179274
161,0.99179274
162,0.99179274
163,0.99179274
164,0.99179274
165,0.99179274
166,0.99179274
167,0.99179274
168,0.99179274
169,0.99179274
170,0.99179274
171,0.99179274
172,0.99179274
173,0.99179274
174,0.99179274
175,0.9649879
176,0.98766077
177,0.98766077
178,0.08431525
179,0.99179274
180,0.99179274
181,0.99179274
182,0.99179274
183,0.99179274
184,0.99179274
185,0.99179274
186,0.99179274
187,0.99179274
188,0.98766077
189,0.99179274
190,0.99179274
191,0.99179274
192,0.99179274
193,0.9538835
194,0.9538835
195,0.99179274
196,0.9887156
197,0.9883928
198,0.9883928
200,0.9833187
202,0.99179274
204,0.9883928
206,0.99179274
208,0.98766077
212,0.99179274
213,0.99179274
215,0.99179274
216,0.9887156
217,0.09485751
218,0.99179274
219,0.99179274
220,0.99179274
221,0.08431525
222,0.99179274
224,0.99179274
227,0.98207873
228,0.99179274
231,0.99179274
232,0.99179274
234,0.99179274
235,0.9883928
236,0.99179274
238,0.99179274
239,0.99179274
240,0.99179274
242,0.99179274
243,0.9887156
244,0.98766077
245,0.99179274
247,0.99179274
251,0.98766077
256,0.09175386
257,0.9833187
258,0.99179274
259,0.98766077
262,0.9826978
263,0.9892663
264,0.9892663
266,0.99179274
267,0.99179274
270,0.9833187
271,0.9883928
272,0.99179274
278,0.99179274
279,0.9883662
280,0.99179274
281,0.99179274
287,0.99179274
289,0.99179274
290,0.9883662
296,0.9883928
302,0.99179274
307,0.9887156
316,0.99179274
319,0.99179274
320,0.9883662
325,0.99179274
333,0.99179274
345,0.99179274
352,0.99179274
356,0.99179274
363,0.99179274
380,0.9892663
381,0.99179274
388,0.99179274
392,0.98766077
398,0.99179274
413,0.99179274
422,0.99179274
431,0.99179274
455,0.99179274
467,0.9883662
483,0.09485751
485,0.99179274
488,0.99179274
498,0.9883662
503,0.99179274
510,0.99179274
524,0.99179274
543,0.99179274
549,0.98555505
554,0.9833187
559,0.99179274
565,0.99179274
567,0.98363596
576,0.98207873
579,0.9883662
588,0.99179274
598,0.08431525
599,0.99179274
601,0.99179274
603,0.99179274
628,0.99179274
805,0.99179274
809,0.08116102
816,0.055002227
826,0.99179274
841,0.99179274
847,0.99179274
893,0.99179274
951,0.99179274
952,0.99179274
953,0.99179274
954,0.99179274
955,0.99179274
956,0.99179274
957,0.99179274
958,0.99179274
959,0.99179274
960,0.99179274
961,0.99179274
962,0.99179274
963,0.99179274
964,0.99179274
965,0.99179274
966,0.99179274
967,0.99179274
968,0.99179274
969,0.99179274
970,0.99179274
971,0.99179274
972,0.9480305
973,0.99179274
974,0.99179274
975,0.99179274
976,0.99179274
977,0.99179274
978,0.99179274
979,0.99179274
980,0.99179274
981,0.99179274
982,0.99179274
983,0.99179274
984,0.99179274
985,0.99179274
986,0.99179274
987,0.99179274
988,0.9883928
989,0.99179274
990,0.99179274
991,0.99179274
992,0.99179274
