ID,KAN
1,0.9820723
2,0.9820723
3,0.9705569
4,0.9820723
5,0.9677048
6,0.9705569
7,0.9737464
8,0.9820723
9,0.9820723
10,0.9825409
11,0.9820723
12,0.9677048
13,0.9705569
14,0.97861457
15,0.9705569
16,0.9840349
17,0.981369
18,0.9820723
19,0.9705569
20,0.97345936
21,0.9705569
22,0.9820723
23,0.9825409
24,0.9820723
25,0.9820723
26,0.9705569
27,0.9820723
28,0.9820723
29,0.9820723
30,0.9820723
31,0.9820723
32,0.97935814
33,0.9431143
34,0.9791307
35,0.029761326
36,0.9820723
37,0.9737464
38,0.9809935
39,0.9677048
40,0.9820723
41,0.9820723
42,0.9820723
43,0.9758278
44,0.9820723
45,0.9705569
46,0.9431143
47,0.9705569
48,0.9820723
49,0.96497524
50,0.9705569
51,0.6433859
52,0.9840349
53,0.9705569
54,0.9659038
55,0.9820723
56,0.97857237
57,0.9820723
58,0.9705569
59,0.9820723
60,0.9820723
61,0.9820723
62,0.9705569
63,0.9705569
64,0.9705569
65,0.9825409
66,0.9820723
67,0.9705569
68,0.9820723
69,0.9758278
70,0.9705569
71,0.9809935
72,0.9820723
73,0.9820723
74,0.97857237
75,0.9705569
76,0.9705569
77,0.9705569
78,0.9705569
79,0.9705569
80,0.9820723
81,0.9820723
82,0.9820723
83,0.9705569
84,0.97857237
85,0.9777924
86,0.98531693
87,0.46061298
88,0.97857237
89,0.9705569
90,0.9705569
91,0.9776019
92,0.9705569
93,0.9820723
94,0.6952591
95,0.9820723
96,0.9820723
97,0.9820723
98,0.9758278
99,0.97345936
100,0.6731156
101,0.960463
102,0.9820723
103,0.7128002
104,0.9776019
105,0.7281723
106,0.9820723
107,0.9705569
108,0.8906822
109,0.9705569
110,0.956656
111,0.6731156
112,0.9820723
113,0.9820723
114,0.9705569
115,0.46061298
116,0.9633222
117,0.7281723
118,0.9820723
119,0.9820723
120,0.9820723
121,0.044662748
122,0.960463
123,0.9777924
124,0.6848034
125,0.6731156
126,0.9705569
127,0.04386065
128,0.9820723
129,0.9820723
130,0.044662748
131,0.9705569
132,0.6731156
133,0.96497524
134,0.9820723
135,0.9705569
136,0.9705569
137,0.9820723
138,0.9633222
139,0.6731156
140,0.960463
141,0.9820723
142,0.6731156
143,0.9705569
144,0.976786
145,0.9705569
146,0.98590046
147,0.97857237
148,0.960463
149,0.9705569
150,0.9677048
151,0.9777924
152,0.9840349
153,0.9820723
154,0.9705569
155,0.9820723
156,0.9820723
157,0.98590046
158,0.9705569
159,0.9705569
160,0.956656
161,0.9705569
162,0.9677048
163,0.9705569
164,0.98590046
165,0.98590046
166,0.973253
167,0.98590046
168,0.9705569
169,0.98590046
170,0.9677048
171,0.9705569
