ID,STR
198,0.38802677
199,0.97708184
200,0.5159194
201,0.9659995
202,0.008621875
203,0.93500525
204,0.38802677
205,0.98737216
206,0.98016745
207,0.98737216
208,0.03972627
209,0.98016745
210,0.96724516
211,0.98016745
212,0.34452173
213,0.40953338
214,0.97708184
215,0.0125431195
216,0.93500525
217,0.39761615
218,0.027697159
219,0.49345875
220,0.97620094
221,0.04471083
222,0.5732136
223,0.01722308
224,0.3827584
225,0.9729436
226,0.97620094
227,0.4356127
228,0.98737216
229,0.97620094
230,0.98737216
231,0.4590283
232,0.37544248
233,0.98737216
234,0.51713467
235,0.98039585
236,0.65208024
237,0.97620094
238,0.027697159
239,0.5893613
240,0.98737216
241,0.97620094
242,0.5893613
243,0.98737216
244,0.5017161
245,0.5893613
246,0.98737216
247,0.37864408
248,0.98016745
249,0.98737216
250,0.5893613
251,0.0382827
252,0.98737216
253,0.97620094
254,0.95720196
255,0.5893613
256,0.1943603
257,0.27472514
258,0.019130219
259,0.07687281
260,0.98016745
261,0.96724516
262,0.53413045
263,0.016194286
264,0.97620094
265,0.98737216
266,0.97620094
267,0.97620094
268,0.98737216
269,0.97620094
270,0.09139127
271,0.9496592
272,0.37864408
273,0.97620094
274,0.95785844
275,0.95720196
276,0.98737216
277,0.95720196
278,0.98016745
279,0.88295126
280,0.50837666
281,0.98016745
282,0.97620094
283,0.98737216
284,0.98737216
285,0.97620094
286,0.95785844
287,0.97620094
288,0.98737216
289,0.8974955
290,0.91244185
291,0.97620094
292,0.9496592
293,0.40920088
294,0.98016745
296,0.9170176
297,0.9017884
298,0.98016745
299,0.5893613
300,0.93500525
301,0.98737216
302,0.5893613
303,0.95720196
304,0.95785844
305,0.98016745
306,0.97708184
307,0.4356127
308,0.98737216
309,0.98737216
310,0.97620094
311,0.98516953
312,0.98016745
313,0.43901163
314,0.98737216
315,0.97620094
316,0.97620094
317,0.95720196
318,0.98737216
319,0.0125431195
320,0.15671228
321,0.97620094
322,0.98737216
323,0.98737216
324,0.98737216
325,0.863854
326,0.5017161
327,0.5615231
328,0.6844557
329,0.98737216
330,0.9017884
331,0.98737216
332,0.95720196
333,0.54989403
334,0.98737216
335,0.97620094
336,0.89849854
