ID,RIF
1,0.063352324
2,0.008705227
3,0.012041719
4,0.008705227
5,0.012041719
6,0.012041719
7,0.012041719
8,0.04311202
9,0.061679438
10,0.028072758
11,0.11025086
12,0.008705227
13,0.008705227
14,0.060125213
15,0.02807799
16,0.012041719
17,0.061906952
18,0.008705227
19,0.020986723
20,0.91506416
21,0.11025086
22,0.008705227
23,0.028696923
24,0.119603135
25,0.012041719
26,0.014487081
27,0.020961074
28,0.019633686
29,0.07718324
30,0.012041719
31,0.02807799
32,0.30596164
33,0.008705227
34,0.03948637
35,0.006294822
36,0.119603135
37,0.012041719
38,0.035842065
39,0.012041719
40,0.119603135
41,0.012041719
42,0.009300781
43,0.008705239
44,0.9826025
45,0.012041719
46,0.81166005
47,0.020986723
48,0.008705227
49,0.008705227
50,0.026077908
51,0.9826025
52,0.021649271
53,0.055835996
54,0.015309317
55,0.11715627
56,0.008705227
57,0.02807799
58,0.02807799
59,0.008705227
60,0.01928041
61,0.018465528
62,0.019633686
63,0.02807799
64,0.063352324
65,0.08463511
66,0.012041719
67,0.039945714
68,0.119603135
69,0.021142168
70,0.008705227
71,0.02238806
72,0.02807799
73,0.02807799
74,0.015309317
75,0.73617697
76,0.008705227
77,0.055835996
78,0.008705227
79,0.008705227
80,0.063352324
81,0.83155525
82,0.10301779
83,0.021649271
84,0.063352324
85,0.72116315
86,0.119603135
87,0.006287328
88,0.009300781
89,0.31448373
90,0.012041719
91,0.119603135
92,0.008705227
93,0.008705227
94,0.72116315
95,0.008705227
96,0.008705227
103,0.012041719
123,0.008705227
126,0.008705227
131,0.008705227
132,0.02807799
144,0.100767545
145,0.012862567
146,0.12529361
147,0.9760786
148,0.00930079
149,0.030186746
150,0.009300781
151,0.8765717
152,0.9951073
153,0.9466931
154,0.030186746
155,0.9466931
156,0.012862567
157,0.012862567
158,0.12529361
159,0.28672445
160,0.012862567
161,0.43409428
162,0.031052906
163,0.010795362
164,0.06895324
165,0.031052906
166,0.012041719
167,0.009300781
168,0.015191225
169,0.30310565
170,0.031052906
171,0.28672445
172,0.030186746
173,0.042586714
175,0.008705227
181,0.02807799
183,0.009300781
184,0.030186746
185,0.031052906
186,0.12529361
187,0.018360702
188,0.08668595
189,0.9951073
190,0.031052906
191,0.12529361
192,0.012862567
193,0.07713754
194,0.07713754
195,0.9951073
196,0.009300781
197,0.012862567
198,0.34402162
199,0.99391866
200,0.006718587
201,0.9247389
202,0.008705227
203,0.99522215
204,0.34402162
205,0.97730744
206,0.9951073
207,0.99631447
208,0.029229175
209,0.99555284
210,0.99522215
211,0.99555284
212,0.012862567
213,0.15776671
214,0.99522215
215,0.028767027
216,0.99522215
217,0.050311297
218,0.09707805
219,0.36891103
220,0.9951073
221,0.006294822
222,0.012862567
223,0.32168403
224,0.9760786
225,0.99631447
226,0.9951073
227,0.8793812
228,0.6440988
229,0.9951073
230,0.9951073
231,0.22799122
232,0.009300781
233,0.9951073
234,0.009300781
235,0.9953075
236,0.9951073
237,0.9951073
238,0.09707805
239,0.98399895
240,0.9951073
241,0.9951073
242,0.9913765
243,0.9951073
244,0.9951073
245,0.9913765
246,0.83155525
247,0.9913765
248,0.99555284
249,0.99555284
250,0.9951073
251,0.012041719
252,0.9951073
253,0.9951073
254,0.99694806
255,0.9951073
256,0.009524829
257,0.05680151
258,0.012862567
259,0.911234
260,0.9951073
261,0.9883526
262,0.014487081
264,0.9913765
265,0.99631447
266,0.9951073
267,0.9951073
268,0.9951073
269,0.99377257
270,0.05680151
271,0.9951073
272,0.9913765
273,0.9247389
274,0.9951073
275,0.99640614
276,0.9951073
277,0.99640614
278,0.9951073
279,0.98189527
280,0.8474199
281,0.9951073
282,0.9951073
283,0.9951073
284,0.9951073
285,0.9951073
286,0.9467349
287,0.9951073
288,0.9951073
289,0.99631447
290,0.973956
291,0.9951073
292,0.9951073
293,0.99377257
294,0.9467349
296,0.9957349
297,0.99631447
298,0.9951073
299,0.9951073
300,0.99631447
301,0.9951073
302,0.40907794
303,0.9961134
304,0.99555284
305,0.9951073
306,0.9954242
307,0.9951073
308,0.9951073
309,0.9810859
310,0.9951073
311,0.9951073
312,0.9467349
313,0.9961134
314,0.99631447
