ID,KAN
1,0.98910964
2,0.81777036
3,0.9678642
4,0.96270025
5,0.9817359
6,0.9678642
7,0.99052536
8,0.9881412
9,0.99483865
10,0.97021186
11,0.9427522
12,0.8581251
13,0.97619957
14,0.98306644
15,0.9168673
16,0.9829558
17,0.9685212
18,0.9714211
19,0.9796585
20,0.99201196
21,0.9885832
22,0.96270025
23,0.98725754
24,0.9735825
25,0.98321956
26,0.9155352
27,0.99439764
28,0.98612946
29,0.98086584
30,0.7530096
31,0.9462759
32,0.93883246
33,0.83477557
34,0.9795863
35,0.34922987
36,0.9925364
37,0.99052536
38,0.9638009
39,0.9817359
40,0.9855397
41,0.93304163
42,0.6138393
43,0.9232123
44,0.9926802
45,0.9738166
46,0.949985
47,0.98584366
48,0.96270025
49,0.955374
50,0.52274793
51,0.9437431
52,0.90122133
53,0.96090144
54,0.83524346
55,0.9916392
56,0.57634616
57,0.9462759
58,0.97841644
59,0.97664136
60,0.9676283
61,0.9833745
62,0.9920316
63,0.970147
64,0.98279667
65,0.9436603
66,0.98321956
67,0.99151057
68,0.9925364
69,0.36840588
70,0.98746127
71,0.9788497
72,0.974127
73,0.95953816
74,0.9505145
75,0.97405463
76,0.7716315
77,0.96090144
78,0.96552116
79,0.91910756
80,0.98527575
81,0.9879339
82,0.9630307
83,0.9938421
84,0.97983015
85,0.9821216
86,0.98244506
87,0.698297
88,0.92637235
89,0.9626533
90,0.99085337
91,0.97860754
92,0.9518974
93,0.96873236
94,0.95580244
95,0.97797513
96,0.95055175
97,0.97902346
98,0.9811508
99,0.9913817
100,0.82676476
101,0.9052124
102,0.9785696
103,0.07107536
104,0.98166925
105,0.8871289
106,0.9358204
107,0.9883902
108,0.6900092
109,0.9887313
110,0.98723805
111,0.82676476
112,0.9706575
113,0.98341113
114,0.98569727
115,0.23531291
116,0.98990774
117,0.8871289
118,0.9358204
119,0.98874295
120,0.977463
121,0.25938055
122,0.9192657
123,0.81627655
124,0.7259311
125,0.6534684
126,0.9883902
127,0.92342097
128,0.9358204
129,0.9839804
130,0.36221543
131,0.9883902
132,0.6534684
133,0.9462935
134,0.9839804
135,0.9883902
136,0.9883902
137,0.97681594
138,0.9849166
139,0.82676476
140,0.9790942
141,0.96270025
142,0.37205923
143,0.9883902
144,0.9908811
145,0.95666045
146,0.7503873
147,0.94050765
148,0.9768787
149,0.9546909
150,0.9340675
151,0.99146104
152,0.9825104
153,0.9928329
154,0.9546909
155,0.9928329
156,0.99543035
157,0.96188194
158,0.79243857
159,0.92600757
160,0.97418517
161,0.95501876
162,0.8822563
163,0.9085376
164,0.995492
165,0.94461656
166,0.9124584
167,0.81074166
168,0.8385305
169,0.8950167
170,0.8822563
171,0.92600757
172,0.953665
173,0.9071486
174,0.9706575
175,0.8594936
176,0.9883902
177,0.9070999
178,0.5299188
179,0.82676476
180,0.9801302
181,0.6534684
182,0.82676476
183,0.97091043
184,0.9546909
185,0.8822563
186,0.7503873
187,0.9066063
188,0.99142224
189,0.99426794
190,0.94461656
191,0.7503873
192,0.9896325
193,0.2679909
194,0.2679909
195,0.97010785
196,0.80291
197,0.9800695
198,0.9801789
200,0.69017094
202,0.8633715
204,0.9801789
206,0.99527574
208,0.1292286
212,0.93722
213,0.9941288
215,0.98386997
216,0.98415965
217,0.24319325
218,0.99208087
219,0.8987403
220,0.98912185
221,0.4336614
222,0.88320494
224,0.9702603
227,0.9584366
228,0.9941958
231,0.95382386
232,0.8817337
234,0.792911
235,0.8147242
236,0.993194
238,0.99208087
239,0.9632354
240,0.9882131
242,0.98848236
243,0.99062014
244,0.9928139
245,0.98848236
247,0.98848236
251,0.9765628
256,0.23306428
257,0.955607
258,0.9856366
259,0.97319037
262,0.98701096
263,0.89224386
264,0.98824894
266,0.99319357
267,0.98341113
270,0.22187215
271,0.99096674
272,0.98848236
278,0.9868015
279,0.9579514
280,0.98524576
281,0.99527574
287,0.9801497
289,0.9824302
290,0.9801705
296,0.9918488
302,0.9904469
307,0.97091216
316,0.9876961
319,0.97822386
320,0.9898286
325,0.98443407
333,0.96234727
345,0.98700494
352,0.9746172
356,0.99423814
363,0.99437994
380,0.9933802
381,0.98721397
388,0.97220504
392,0.968182
398,0.9915479
413,0.99502736
422,0.99502736
431,0.9835187
455,0.96893567
467,0.97856003
483,0.24319325
485,0.9915548
488,0.9832238
498,0.9806984
503,0.98972124
510,0.98754126
524,0.96893567
543,0.92644536
549,0.93462
554,0.22187215
559,0.9906375
565,0.99536914
567,0.98542154
576,0.9733599
579,0.9801705
588,0.98341435
598,0.7839341
599,0.98776126
601,0.97220504
603,0.99160296
628,0.98477995
631,0.98457295
632,0.9920997
633,0.9922403
634,0.98305315
635,0.9879339
636,0.98983836
637,0.9626564
638,0.99305785
639,0.8651344
640,0.98421186
641,0.8957788
642,0.9710207
643,0.98156345
644,0.9874537
645,0.9706575
646,0.95232844
647,0.98835725
648,0.9697258
649,0.943579
650,0.9949056
651,0.9814161
652,0.97976774
653,0.9878805
654,0.93102354
655,0.9373201
656,0.9915479
657,0.95232844
658,0.9949056
659,0.97595495
660,0.96261895
661,0.9878805
662,0.9706575
663,0.9744486
664,0.98301077
665,0.99103045
666,0.8677675
667,0.968182
668,0.89287776
669,0.98285896
670,0.9363533
671,0.94863
672,0.94806904
673,0.97215164
674,0.4220979
675,0.47341794
676,0.85510707
677,0.9837135
678,0.9911397
679,0.98341113
680,0.96507394
681,0.9724506
682,0.77935207
683,0.9872994
684,0.9691181
685,0.96651435
686,0.98299336
687,0.9748653
688,0.9748653
689,0.9691181
694,0.13586761
695,0.98341113
697,0.98557925
698,0.9120133
699,0.9921578
700,0.9852027
701,0.99328035
702,0.62535244
703,0.98370093
704,0.9769464
705,0.9706575
706,0.9706575
707,0.47342125
708,0.9427522
709,0.97660965
710,0.9015579
711,0.94572186
712,0.3662533
713,0.9706575
714,0.9886058
715,0.9706575
716,0.9706575
717,0.8670607
718,0.9706575
719,0.9839421
720,0.94888496
721,0.995663
722,0.9815057
723,0.9281167
724,0.9358204
725,0.9222229
726,0.37773168
727,0.9706575
728,0.21443707
729,0.979297
730,0.979297
731,0.9787877
732,0.99286956
733,0.9802089
734,0.44202867
735,0.97060615
736,0.9706575
737,0.9673053
738,0.96017104
739,0.95403856
740,0.9706575
741,0.99054974
742,0.97902346
743,0.9706575
744,0.8571902
745,0.98341113
746,0.9911397
747,0.9619273
748,0.98341113
749,0.99383163
750,0.8958631
751,0.99511445
752,0.87570804
753,0.9887794
754,0.96040297
755,0.9257161
756,0.97277147
757,0.9710407
758,0.9828773
759,0.9901382
760,0.9233981
761,0.9425684
762,0.9863114
763,0.88770163
764,0.85538995
765,0.9634321
766,0.99116665
767,0.93819535
768,0.5126313
769,0.9706575
770,0.98572874
771,0.9706575
772,0.98341113
773,0.9875513
774,0.98421186
775,0.98514646
776,0.62535244
777,0.62535244
778,0.7785753
779,0.9741882
780,0.9749255
781,0.97908974
782,0.9927291
783,0.9706575
784,0.9706575
785,0.98321503
786,0.9915479
787,0.98341113
788,0.9706575
789,0.9706575
790,0.9917597
791,0.98341113
792,0.9706575
805,0.9946221
809,0.90549254
816,0.90549004
826,0.9783159
841,0.9865824
847,0.98736054
893,0.99008673
951,0.9832829
952,0.2755652
953,0.9891338
954,0.97667867
955,0.8620064
956,0.98677516
957,0.9745871
958,0.99479806
959,0.98588365
960,0.99384934
961,0.9872436
962,0.99341595
963,0.99457574
964,0.9913591
965,0.9853887
966,0.9934855
967,0.99348503
968,0.9920997
969,0.92104125
970,0.99348503
971,0.96893567
972,0.98047596
973,0.96893567
974,0.99053043
975,0.9463049
976,0.9706575
977,0.9909952
978,0.99400556
979,0.9799361
980,0.9890598
981,0.99059874
982,0.99119085
983,0.9816195
984,0.99059874
985,0.98983675
986,0.989441
987,0.99400556
988,0.98537284
989,0.98911357
990,0.9775531
991,0.96379316
992,0.99119085
