ID,MOXI
1,0.96246135
2,0.9735135
3,0.98429996
4,0.96581453
5,0.9556446
6,0.98429996
7,0.98161006
8,0.9691491
9,0.985016
10,0.9830719
11,0.98585504
12,0.8297893
13,0.9885958
14,0.8775771
15,0.9885717
16,0.94057
17,0.9901328
18,0.96910304
19,0.9920564
20,0.97204065
21,0.9885189
22,0.96581453
23,0.96889526
24,0.99040484
25,0.95714194
26,0.97538656
27,0.98869765
28,0.976848
29,0.9665501
30,0.9630061
31,0.9815601
32,0.96911365
33,0.87844735
34,0.9378573
35,0.95373255
36,0.9842407
37,0.98161006
38,0.9186813
39,0.9556446
40,0.993711
41,0.73182803
42,0.93178886
43,0.7705602
44,0.9910591
45,0.9740717
46,0.9762155
47,0.9936807
48,0.96581453
49,0.7896231
50,0.97567874
51,0.85206276
52,0.9771781
53,0.9773811
54,0.98308027
55,0.9869819
56,0.98029846
57,0.9815601
58,0.98251456
59,0.97739446
60,0.9842332
61,0.9843656
62,0.9575576
63,0.9772215
64,0.99188155
65,0.9819687
66,0.94057
67,0.96177274
68,0.9842407
69,0.6407209
70,0.9930988
71,0.9531178
72,0.9580779
73,0.9665708
74,0.9879417
75,0.9921524
76,0.9735352
77,0.9773811
78,0.9672133
79,0.8804034
80,0.9887961
81,0.9924096
82,0.9893149
83,0.9843476
84,0.9772773
85,0.97799575
86,0.9533211
87,0.9186772
88,0.98414606
89,0.95594627
90,0.95813316
91,0.98770696
92,0.98205113
93,0.94878536
94,0.86778617
95,0.98513156
96,0.9835344
97,0.9812681
98,0.9583333
99,0.98957646
100,0.8849917
101,0.9877394
102,0.99154365
103,0.851677
104,0.69735503
105,0.46153504
106,0.9766207
107,0.9802445
108,0.94053507
109,0.9868427
110,0.9908048
111,0.8849917
112,0.9959449
113,0.99469393
114,0.98213184
115,0.9336612
116,0.8441291
117,0.46153504
118,0.9766207
119,0.97484255
120,0.9779815
121,0.50264895
122,0.8152262
123,0.577295
124,0.90783876
125,0.8538185
126,0.9802445
127,0.8929227
128,0.9766207
129,0.971599
130,0.39784727
131,0.9802445
132,0.8538185
133,0.9783508
134,0.971599
135,0.9802445
136,0.9802445
137,0.9584812
138,0.96744406
139,0.8849917
140,0.9884596
141,0.96581453
142,0.6183411
143,0.9802445
144,0.9896828
145,0.96853775
146,0.9149696
147,0.9812385
148,0.95897347
149,0.9346744
150,0.9020713
151,0.9743988
152,0.992605
153,0.9820561
154,0.9346744
155,0.9820561
156,0.98691446
157,0.8283869
158,0.89007974
159,0.9204064
160,0.98796844
161,0.9851066
162,0.887262
163,0.32952484
164,0.97209847
165,0.7799056
166,0.9195997
167,0.9475427
168,0.809268
169,0.92803884
170,0.887262
171,0.893704
172,0.8719547
173,0.78357506
174,0.9959449
175,0.713141
176,0.9802445
177,0.646974
178,0.32575136
179,0.8849917
180,0.9344043
181,0.8538185
182,0.8849917
183,0.8385556
184,0.77441907
185,0.887262
186,0.9149696
187,0.77141035
188,0.9899386
189,0.9900064
190,0.7799056
191,0.9149696
192,0.96389073
193,0.8438037
194,0.8438037
195,0.9837605
196,0.79205936
197,0.9667654
628,0.9837712
805,0.99241537
809,0.95002353
816,0.9424282
826,0.95434874
841,0.92078173
847,0.98352987
893,0.97595257
951,0.99535877
952,0.9773562
953,0.99503064
954,0.9949477
955,0.9852416
956,0.76259345
957,0.99593496
958,0.991855
959,0.9959735
960,0.98041415
961,0.9947069
962,0.9946654
963,0.991816
964,0.9950801
965,0.9932422
966,0.9923354
967,0.99593276
968,0.9941057
969,0.99523574
970,0.99593276
971,0.9960748
972,0.9960748
973,0.9960748
974,0.9944285
975,0.99020666
976,0.9959449
977,0.9964379
978,0.9904937
979,0.9960645
980,0.9567884
981,0.9865303
982,0.991816
983,0.9922821
984,0.9865303
985,0.9772374
986,0.99456835
987,0.9904937
988,0.99321026
989,0.9889653
990,0.98861736
991,0.99045056
992,0.991816
