ID,RIF
1,0.2134731
2,0.037200708
3,0.016571864
4,0.04024425
5,0.1315061
6,0.016571864
7,0.07927617
8,0.0787484
9,0.38332585
10,0.0088849375
11,0.103510976
12,0.025083618
13,0.028227871
14,0.03390325
15,0.3389671
16,0.1709024
17,0.8119573
18,0.08301936
19,0.17422174
20,0.9770273
21,0.57894105
22,0.04024425
23,0.014283384
24,0.8163668
25,0.18910885
26,0.07242
27,0.047746062
28,0.25126305
29,0.3807677
30,0.18499619
31,0.23452184
32,0.13797137
33,0.031156767
34,0.017639382
35,0.04234259
36,0.8370881
37,0.07927617
38,0.013268842
39,0.1315061
40,0.9045747
41,0.02218953
42,0.01592865
43,0.07628334
44,0.9881358
45,0.023104891
46,0.56026703
47,0.5094525
48,0.04024425
49,0.02160713
50,0.0152753955
51,0.9255973
52,0.05567404
53,0.06447515
54,0.044709202
55,0.84796995
56,0.018899182
57,0.23452184
58,0.055750944
59,0.060988557
60,0.021948189
61,0.03806232
62,0.07948472
63,0.061577022
64,0.10355981
65,0.29832026
66,0.37083676
67,0.021025874
68,0.8370881
69,0.01271966
70,0.0073738527
71,0.014240721
72,0.29250094
73,0.07835155
74,0.019633515
75,0.25484434
76,0.008752641
77,0.06447515
78,0.01616526
79,0.028080702
80,0.21775837
81,0.8200338
82,0.5280235
83,0.020441521
84,0.7863973
85,0.58706367
86,0.85865855
87,0.0062209005
88,0.113531716
89,0.27102488
90,0.05715556
91,0.8475545
92,0.0491392
93,0.018367352
94,0.5428148
95,0.022723813
96,0.018965714
103,0.25464416
123,0.21551204
126,0.011800464
131,0.011800464
132,0.02131145
144,0.6246912
145,0.078538
146,0.050472196
147,0.869639
148,0.02719568
149,0.0570904
150,0.015235852
151,0.9913952
152,0.99705553
153,0.98960555
154,0.0570904
155,0.98960555
156,0.12058114
157,0.027333437
158,0.116676405
159,0.024370763
160,0.22152121
161,0.20600654
162,0.011558112
163,0.01045519
164,0.1565195
165,0.08609075
166,0.14407486
167,0.03276985
168,0.009768089
169,0.93340874
170,0.011558112
171,0.024370763
172,0.100667305
173,0.03674285
175,0.032659262
181,0.02131145
183,0.043711156
184,0.06503341
185,0.011558112
186,0.050472196
187,0.026674267
188,0.037307687
189,0.9907239
190,0.08609075
191,0.050472196
192,0.033539005
193,0.21226126
194,0.21226126
195,0.9849488
196,0.095269576
197,0.08606306
198,0.67662805
199,0.9944669
200,0.01553941
201,0.9294907
202,0.02978327
203,0.9921163
204,0.67662805
205,0.98341733
206,0.99824655
207,0.99856573
208,0.38792628
209,0.9969048
210,0.98023
211,0.9969048
212,0.09333312
213,0.07384331
214,0.9927753
215,0.024508527
216,0.9831629
217,0.011257923
218,0.25176466
219,0.3298223
220,0.9982332
221,0.022745362
222,0.054304555
223,0.45256925
224,0.99587363
225,0.99491996
226,0.99822396
227,0.87505454
228,0.8589184
229,0.9986314
230,0.99655104
231,0.047194783
232,0.022147218
233,0.99888724
234,0.039343856
235,0.9177454
236,0.99849904
237,0.9965604
238,0.25176466
239,0.49381447
240,0.97958744
241,0.99770856
242,0.99208575
243,0.99521196
244,0.99623835
245,0.99208575
246,0.8990779
247,0.9023365
248,0.9987326
249,0.99862933
250,0.99453235
251,0.42097074
252,0.9974197
253,0.9986314
254,0.9967675
255,0.99453235
256,0.024678899
257,0.04813833
258,0.11149261
259,0.88740563
260,0.9986418
261,0.9851945
262,0.14245394
264,0.99467105
265,0.99791986
266,0.97624946
267,0.99888724
268,0.99856347
269,0.99810034
270,0.26722765
271,0.9943488
272,0.9023365
273,0.9935508
274,0.9971445
275,0.9981692
276,0.99856347
277,0.9981692
278,0.9711899
279,0.99241614
280,0.70285547
281,0.99824655
282,0.9986314
283,0.9974197
284,0.9974197
285,0.9986314
286,0.98073924
287,0.99709153
288,0.9974197
289,0.9958597
290,0.9955701
291,0.9977068
292,0.9982368
293,0.99374133
294,0.9920918
296,0.9972621
297,0.99805176
298,0.99372995
299,0.9983169
300,0.99659204
301,0.9974197
302,0.21362506
303,0.99601763
304,0.9976057
305,0.996309
306,0.9972262
307,0.99796176
308,0.9974197
309,0.8411123
310,0.99856347
311,0.9928402
312,0.9920918
313,0.99290025
314,0.9976496
315,0.9986314
316,0.99176097
317,0.9967675
318,0.9974197
319,0.42048296
320,0.8695679
321,0.99810034
322,0.9974197
323,0.9978242
324,0.9974197
325,0.9960078
326,0.9952153
327,0.99445254
328,0.98969275
329,0.9976496
330,0.9988236
331,0.99357754
332,0.9967675
333,0.9920664
334,0.9976496
335,0.9986314
336,0.9970426
337,0.99574775
338,0.99732
339,0.9958396
340,0.99862933
341,0.9981692
342,0.9974197
343,0.9973574
344,0.9970278
345,0.99853253
346,0.99888724
347,0.9900067
348,0.9976909
349,0.9897026
350,0.99326104
351,0.9985745
352,0.9692069
353,0.9986314
354,0.9961367
355,0.9974197
356,0.9411659
357,0.99569416
358,0.9912163
359,0.99888724
360,0.99061286
361,0.9905308
362,0.9912163
363,0.9986418
364,0.9976496
365,0.9905201
366,0.9967675
367,0.9958158
368,0.995933
369,0.99856573
370,0.9952478
371,0.9971445
372,0.99428314
373,0.99761
374,0.99888724
375,0.9939873
376,0.9979961
377,0.99888724
378,0.99097323
379,0.9893708
380,0.9826247
381,0.99376595
383,0.9967675
384,0.9961325
385,0.996309
386,0.99775887
387,0.9955786
388,0.99154526
389,0.9987326
390,0.9964233
391,0.8114361
392,0.63382894
393,0.99519485
394,0.9554356
395,0.9970751
396,0.9986314
397,0.99824655
398,0.99888724
399,0.99888724
400,0.99888724
401,0.9968104
402,0.99888724
403,0.9958158
404,0.99856347
405,0.9974197
406,0.99202204
407,0.99888724
408,0.99681455
409,0.9974197
410,0.9974197
411,0.99888724
412,0.99834263
413,0.9711964
415,0.99372995
416,0.9947353
417,0.996309
418,0.99770856
419,0.9981414
420,0.9958396
421,0.9964539
422,0.9711964
423,0.9961367
424,0.9955786
425,0.99730957
426,0.99376595
427,0.9974197
428,0.9885012
429,0.9861856
430,0.9967374
431,0.9979261
432,0.99376595
433,0.99520385
435,0.9920918
436,0.99702114
437,0.996309
438,0.9911078
439,0.9965604
440,0.99581593
441,0.9961367
442,0.9946572
443,0.9974197
444,0.9851945
445,0.99770856
446,0.9974197
447,0.9979214
448,0.9897026
449,0.9986314
450,0.9974197
451,0.99770856
